dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.435061,14.609617,0.000794,0.079407,3.970331,198.516556,6.282603
0.020000,6.434864,14.609617,0.000990,0.009819,-3.479364,-372.484764,6.282799
0.020000,6.434537,14.609617,0.001318,0.016353,0.326698,190.303119,6.283126
0.020000,6.438920,14.609618,0.005701,0.219157,10.140179,490.674050,0.000398
0.020000,6.445480,14.609623,0.012260,0.327969,5.440609,-234.978491,0.000985
0.020000,6.453498,14.609634,0.020278,0.400916,3.647333,-89.663838,0.001702
0.020000,6.462976,14.609654,0.029756,0.473900,3.649209,0.093803,0.002547
0.020000,6.473915,14.609687,0.040695,0.546937,3.651868,0.132961,0.003519
0.020000,6.486315,14.609737,0.053095,0.620020,3.654135,0.113377,0.004618
0.020000,6.500178,14.609810,0.066959,0.693168,3.657404,0.163430,0.005842
0.020000,6.515505,14.609910,0.082287,0.766386,3.660890,0.174314,0.007189
0.020000,6.532299,14.610043,0.099080,0.839678,3.664610,0.185973,0.008659
0.020000,6.550559,14.610216,0.117341,0.913051,3.668660,0.202517,0.010250
0.020000,6.570288,14.610435,0.137072,0.986522,3.673539,0.243923,0.011959
0.020000,6.591488,14.610708,0.158273,1.060088,3.678322,0.239169,0.013785
0.020000,6.614161,14.611042,0.180949,1.133762,3.683660,0.266911,0.015726
0.020000,6.638308,14.611447,0.205100,1.207553,3.689561,0.295045,0.017779
0.020000,6.663933,14.611930,0.230729,1.281466,3.695661,0.304970,0.019942
0.020000,6.691037,14.612502,0.257839,1.355512,3.702281,0.331008,0.022213
0.020000,6.719623,14.613171,0.286433,1.429697,3.709246,0.348282,0.024587
0.020000,6.749694,14.613947,0.316514,1.504031,3.716715,0.373413,0.027063
0.020000,6.781252,14.614842,0.348084,1.578521,3.724503,0.389399,0.029638
0.020000,6.814300,14.615866,0.381148,1.653182,3.733040,0.426854,0.032307
0.020000,6.848840,14.617031,0.415708,1.728012,3.741513,0.423662,0.035068
0.020000,6.884877,14.618346,0.451769,1.803028,3.750816,0.465136,0.037916
0.020000,6.922412,14.619825,0.489333,1.878237,3.760456,0.482007,0.040849
0.020000,6.961450,14.621480,0.528406,1.953647,3.770460,0.500210,0.043862
0.020000,7.001994,14.623322,0.568992,2.029268,3.781061,0.530073,0.046950
0.020000,7.044046,14.625365,0.611094,2.105107,3.791965,0.545175,0.050110
0.020000,7.087612,14.627620,0.654717,2.181177,3.803486,0.576054,0.053336
0.020000,7.132693,14.630102,0.699867,2.257485,3.815380,0.594692,0.056624
0.020000,7.179294,14.632822,0.746548,2.334038,3.827671,0.614566,0.059970
0.020000,7.227420,14.635793,0.794765,2.410848,3.840496,0.641257,0.063367
0.020000,7.277073,14.639030,0.844523,2.487923,3.853749,0.662628,0.066811
0.020000,7.328258,14.642545,0.895829,2.565273,3.867514,0.688234,0.070296
0.020000,7.380979,14.646351,0.948687,2.642907,3.881671,0.707895,0.073816
0.020000,7.435240,14.650461,1.003103,2.720831,3.896243,0.728574,0.077367
0.020000,7.491046,14.654887,1.059085,2.799058,3.911317,0.753696,0.080940
0.020000,7.548401,14.659644,1.116636,2.877594,3.926805,0.774426,0.084532
0.020000,7.607309,14.664743,1.175765,2.956449,3.942757,0.797592,0.088134
0.020000,7.667777,14.670196,1.236478,3.035631,3.959105,0.817389,0.091741
0.020000,7.729807,14.676016,1.298781,3.115148,3.975863,0.837920,0.095345
0.020000,7.793406,14.682214,1.362681,3.195010,3.993076,0.860630,0.098940
0.020000,7.858578,14.688802,1.428186,3.275223,4.010664,0.879383,0.102520
0.020000,7.925330,14.695790,1.495302,3.355797,4.028673,0.900455,0.106076
0.020000,7.993665,14.703189,1.564036,3.436738,4.047066,0.919663,0.109601
0.020000,8.063590,14.711008,1.634397,3.518055,4.065852,0.939325,0.113088
0.020000,8.135111,14.719256,1.706393,3.599755,4.085006,0.957678,0.116529
0.020000,8.208234,14.727942,1.780030,3.681846,4.104552,0.977286,0.119917
0.020000,8.282965,14.737074,1.855316,3.764335,4.124454,0.995108,0.123242
0.020000,8.359310,14.746658,1.932261,3.847230,4.144723,1.013481,0.126498
0.020000,8.437277,14.756700,2.010872,3.930536,4.165335,1.030580,0.129676
0.020000,8.516872,14.767206,2.091157,4.014263,4.186325,1.049504,0.132768
0.020000,8.598102,14.778180,2.173125,4.098415,4.207625,1.064985,0.135765
0.020000,8.680976,14.789624,2.256785,4.183002,4.229318,1.084639,0.138658
0.020000,8.765501,14.801541,2.342146,4.268028,4.251322,1.100197,0.141439
0.020000,8.851685,14.813931,2.429216,4.353502,4.273672,1.117507,0.144098
0.020000,8.939537,14.826793,2.518004,4.439430,4.296403,1.136561,0.146627
0.020000,9.029066,14.840126,2.608521,4.525819,4.319447,1.152188,0.149017
0.020000,9.120281,14.853927,2.700774,4.612675,4.342844,1.169847,0.151257
0.020000,9.213193,14.868189,2.794774,4.700008,4.366618,1.188706,0.153339
0.020000,9.307812,14.882907,2.890531,4.787823,4.390773,1.207740,0.155252
0.020000,9.404148,14.898072,2.988053,4.876128,4.415231,1.222924,0.156988
0.020000,9.502213,14.913674,3.087352,4.964931,4.440161,1.246491,0.158536
0.020000,9.602019,14.929702,3.188437,5.054240,4.465437,1.263793,0.159886
0.020000,9.703578,14.946141,3.291318,5.144062,4.491133,1.284829,0.161027
0.020000,9.806904,14.962976,3.396006,5.234407,4.517230,1.304847,0.161950
0.020000,9.912010,14.980188,3.502512,5.325283,4.543802,1.328589,0.162643
0.020000,10.018910,14.997756,3.610846,5.416699,4.570789,1.349336,0.163096
0.020000,10.127619,15.015659,3.721019,5.508664,4.598257,1.373406,0.163298
0.020000,10.236960,15.033674,3.831834,5.540767,1.605145,-149.655580,0.163240
0.020000,10.345367,15.051514,3.941700,5.493276,-2.374524,-198.983458,0.162925
0.020000,10.452458,15.069089,4.050223,5.426155,-3.356061,-49.076874,0.162364
0.020000,10.558225,15.086373,4.157393,5.358490,-3.383276,-1.360736,0.161569
0.020000,10.662661,15.103343,4.263199,5.290288,-3.410074,-1.339874,0.160549
0.020000,10.765759,15.119976,4.367630,5.221561,-3.436371,-1.314850,0.159316
0.020000,10.867512,15.136252,4.470676,5.152315,-3.462288,-1.295894,0.157880
0.020000,10.967911,15.152154,4.572327,5.082560,-3.487768,-1.273959,0.156250
0.020000,11.066950,15.167666,4.672573,5.012303,-3.512829,-1.253077,0.154438
0.020000,11.164620,15.182773,4.771404,4.941552,-3.537557,-1.236386,0.152453
0.020000,11.260912,15.197463,4.868811,4.870315,-3.561840,-1.214141,0.150304
0.020000,11.355818,15.211726,4.964783,4.798600,-3.585782,-1.197111,0.148001
0.020000,11.449330,15.225553,5.059311,4.726413,-3.609348,-1.178282,0.145554
0.020000,11.541438,15.238935,5.152386,4.653761,-3.632588,-1.162044,0.142972
0.020000,11.632133,15.251867,5.243999,4.580652,-3.655459,-1.143507,0.140264
0.020000,11.721408,15.264344,5.334141,4.507092,-3.677977,-1.125943,0.137438
0.020000,11.809251,15.276363,5.422803,4.433089,-3.700137,-1.107995,0.134505
0.020000,11.895654,15.287923,5.509976,4.358650,-3.721972,-1.091717,0.131473
0.020000,11.980608,15.299023,5.595651,4.283780,-3.743475,-1.075145,0.128350
0.020000,12.064102,15.309664,5.679821,4.208489,-3.764584,-1.055449,0.125144
0.020000,12.146128,15.319847,5.762477,4.132781,-3.785390,-1.040313,0.121864
0.020000,12.226676,15.329576,5.843610,4.056665,-3.805811,-1.021042,0.118519
0.020000,12.305736,15.338855,5.923213,3.980147,-3.825885,-1.003732,0.115116
0.020000,12.383299,15.347688,6.001278,3.903235,-3.845593,-0.985404,0.111663
0.020000,12.459356,15.356083,6.077797,3.825937,-3.864926,-0.966632,0.108168
0.020000,12.533897,15.364045,6.152762,3.748259,-3.883892,-0.948278,0.104638
0.020000,12.606914,15.371582,6.226166,3.670210,-3.902466,-0.928732,0.101081
0.020000,12.678396,15.378704,6.298002,3.591797,-3.920646,-0.908981,0.097504
0.020000,12.748335,15.385419,6.368262,3.513027,-3.938461,-0.890774,0.093915
0.020000,12.816722,15.391737,6.436941,3.433911,-3.955806,-0.867242,0.090319
0.020000,12.883548,15.397668,6.504030,3.354455,-3.972805,-0.849962,0.086725
0.020000,12.948805,15.403225,6.569523,3.274668,-3.989369,-0.828185,0.083138
0.020000,13.012485,15.408417,6.633414,3.194558,-4.005511,-0.807072,0.079566
0.020000,13.074579,15.413257,6.695697,3.114134,-4.021157,-0.782332,0.076013
0.020000,13.135080,15.417758,6.756365,3.033404,-4.036494,-0.766859,0.072488
0.020000,13.193980,15.421932,6.815413,2.952379,-4.051267,-0.738627,0.068994
0.020000,13.251272,15.425792,6.872834,2.871066,-4.065669,-0.720117,0.065539
0.020000,13.306947,15.429351,6.928623,2.789474,-4.079572,-0.695118,0.062127
0.020000,13.361001,15.432623,6.982776,2.707612,-4.093139,-0.678374,0.058765
0.020000,13.413425,15.435620,7.035285,2.625491,-4.106041,-0.645080,0.055456
0.020000,13.464214,15.438357,7.086148,2.543117,-4.118712,-0.633555,0.052207
0.020000,13.513361,15.440847,7.135358,2.460499,-4.130857,-0.607256,0.049023
0.020000,13.560860,15.443103,7.182911,2.377650,-4.142490,-0.581634,0.045907
0.020000,13.606706,15.445140,7.228802,2.294579,-4.153539,-0.552468,0.042864
0.020000,13.650894,15.446969,7.273028,2.211287,-4.164581,-0.552091,0.039900
0.020000,13.693419,15.448606,7.315584,2.127794,-4.174664,-0.504150,0.037017
0.020000,13.734275,15.450062,7.356466,2.044103,-4.184536,-0.493622,0.034219
0.020000,13.773458,15.451350,7.395670,1.960224,-4.193976,-0.471984,0.031511
0.020000,13.810964,15.452483,7.433194,1.876164,-4.203006,-0.451482,0.028896
0.020000,13.846789,15.453473,7.469032,1.791935,-4.211414,-0.420407,0.026378
0.020000,13.880929,15.454333,7.503183,1.707545,-4.219510,-0.404794,0.023959
0.020000,13.913381,15.455073,7.535643,1.623001,-4.227187,-0.383858,0.021643
0.020000,13.944141,15.455705,7.566410,1.538315,-4.234298,-0.355574,0.019433
0.020000,13.973206,15.456239,7.595479,1.453488,-4.241392,-0.354683,0.017331
0.020000,14.000573,15.456686,7.622850,1.368539,-4.247447,-0.302767,0.015339
0.020000,14.026239,15.457056,7.648520,1.283467,-4.253587,-0.306975,0.013462
0.020000,14.050203,15.457358,7.672485,1.198283,-4.259180,-0.279658,0.011699
0.020000,14.072462,15.457600,7.694745,1.112999,-4.264212,-0.251606,0.010055
0.020000,14.093013,15.457791,7.715298,1.027616,-4.269128,-0.245790,0.008529
0.020000,14.111856,15.457938,7.734141,0.942150,-4.273337,-0.210459,0.007125
0.020000,14.128987,15.458049,7.751273,0.856599,-4.277514,-0.208838,0.005844
0.020000,14.144407,15.458130,7.766692,0.770976,-4.281148,-0.181736,0.004687
0.020000,14.158112,15.458188,7.780398,0.685292,-4.284231,-0.154150,0.003656
0.020000,14.170103,15.458226,7.792389,0.599549,-4.287142,-0.145530,0.002751
0.020000,14.180378,15.458250,7.802664,0.513757,-4.289584,-0.122096,0.001975
0.020000,14.188937,15.458264,7.811222,0.427919,-4.291904,-0.116010,0.001326
0.020000,14.195778,15.458272,7.818063,0.342046,-4.293686,-0.089108,0.000807
0.020000,14.200901,15.458275,7.823186,0.256147,-4.294926,-0.061968,0.000418
0.020000,14.204305,15.458276,7.826591,0.170227,-4.295989,-0.053188,0.000160
0.020000,14.205991,15.458276,7.828277,0.084294,-4.296683,-0.034667,0.000031
0.020000,14.206404,15.458276,7.828690,0.020661,-3.181615,55.753391,6.283185
0.020000,14.206404,15.458276,7.828690,0.000000,-1.033063,107.427584,6.283185
