dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.434478,13.609617,0.000794,0.079407,3.970331,198.516556,6.282603
0.020000,6.434478,13.609617,0.003176,0.158813,3.970331,0.000000,6.282799
0.020000,6.434478,13.609617,0.007147,0.238220,3.970331,-0.000000,6.283126
0.020000,6.439319,13.609618,0.012705,0.317626,3.970331,0.000000,0.000398
0.020000,6.446465,13.609623,0.019852,0.397033,3.970331,-0.000000,0.000985
0.020000,6.455200,13.609635,0.028586,0.476440,3.970331,0.000000,0.001702
0.020000,6.465523,13.609657,0.038909,0.555846,3.970331,0.000000,0.002547
0.020000,6.477434,13.609693,0.050820,0.635253,3.970331,-0.000000,0.003519
0.020000,6.490933,13.609748,0.064319,0.714660,3.970331,-0.000000,0.004618
0.020000,6.506020,13.609827,0.079407,0.794066,3.970331,0.000000,0.005842
0.020000,6.522695,13.609936,0.096082,0.873473,3.970331,0.000000,0.007189
0.020000,6.540958,13.610080,0.114346,0.952879,3.970331,-0.000000,0.008659
0.020000,6.560808,13.610268,0.134197,1.032286,3.970331,0.000000,0.010250
0.020000,6.582247,13.610506,0.155637,1.111693,3.970331,0.000000,0.011959
0.020000,6.605273,13.610803,0.178665,1.191099,3.970331,-0.000000,0.013785
0.020000,6.629886,13.611166,0.203281,1.270506,3.970331,0.000000,0.015726
0.020000,6.656087,13.611605,0.229485,1.349913,3.970331,-0.000000,0.017779
0.020000,6.683874,13.612129,0.257277,1.429319,3.970331,-0.000000,0.019942
0.020000,6.713248,13.612748,0.286658,1.508726,3.970331,0.000000,0.022213
0.020000,6.744208,13.613473,0.317626,1.588132,3.970331,-0.000000,0.024587
0.020000,6.776754,13.614314,0.350183,1.667539,3.970331,0.000000,0.027063
0.020000,6.810885,13.615282,0.384328,1.746946,3.970331,0.000000,0.029638
0.020000,6.846601,13.616388,0.420061,1.826352,3.970331,-0.000000,0.032307
0.020000,6.883901,13.617645,0.457382,1.905759,3.970331,0.000000,0.035068
0.020000,6.922784,13.619065,0.496291,1.985166,3.970331,0.000000,0.037916
0.020000,6.963250,13.620660,0.536789,2.064572,3.970331,0.000000,0.040849
0.020000,7.005298,13.622442,0.578874,2.143979,3.970331,0.000000,0.043862
0.020000,7.048926,13.624424,0.622548,2.223385,3.970331,-0.000000,0.046950
0.020000,7.094135,13.626620,0.667810,2.302792,3.970331,0.000000,0.050110
0.020000,7.140922,13.629042,0.714660,2.382199,3.970331,-0.000000,0.053336
0.020000,7.189287,13.631704,0.763098,2.461605,3.970331,0.000000,0.056624
0.020000,7.239228,13.634619,0.813124,2.541012,3.970331,0.000000,0.059970
0.020000,7.290744,13.637800,0.864738,2.620419,3.970331,-0.000000,0.063367
0.020000,7.343834,13.641261,0.917941,2.699825,3.970331,0.000000,0.066811
0.020000,7.398496,13.645015,0.972731,2.779232,3.970331,0.000000,0.070296
0.020000,7.454728,13.649074,1.029110,2.858638,3.970331,-0.000000,0.073816
0.020000,7.512529,13.653452,1.087077,2.938045,3.970331,0.000000,0.077367
0.020000,7.571898,13.658161,1.146632,3.017452,3.970331,-0.000000,0.080940
0.020000,7.632832,13.663215,1.207775,3.096858,3.970331,0.000000,0.084532
0.020000,7.695329,13.668624,1.270506,3.176265,3.970331,-0.000000,0.088134
0.020000,7.759389,13.674401,1.334825,3.255672,3.970331,0.000000,0.091741
0.020000,7.825008,13.680558,1.400733,3.335078,3.970331,-0.000000,0.095345
0.020000,7.892185,13.687105,1.468228,3.414485,3.970331,0.000000,0.098940
0.020000,7.960919,13.694053,1.537312,3.493891,3.970331,-0.000000,0.102520
0.020000,8.031206,13.701411,1.607984,3.573298,3.970331,0.000000,0.106076
0.020000,8.103047,13.709189,1.680244,3.652705,3.970331,0.000000,0.109601
0.020000,8.176437,13.717395,1.754092,3.732111,3.970331,-0.000000,0.113088
0.020000,8.251377,13.726038,1.829529,3.811518,3.970331,0.000000,0.116529
0.020000,8.327863,13.735123,1.906553,3.890924,3.970331,-0.000000,0.119917
0.020000,8.405896,13.744658,1.985166,3.970331,3.970331,0.000000,0.123242
0.020000,8.485472,13.754648,2.065366,4.049738,3.970331,-0.000000,0.126498
0.020000,8.566590,13.765096,2.147155,4.129144,3.970331,0.000000,0.129676
0.020000,8.649250,13.776007,2.230532,4.208551,3.970331,0.000000,0.132768
0.020000,8.733451,13.787382,2.315497,4.287958,3.970331,0.000000,0.135765
0.020000,8.819190,13.799222,2.402050,4.367364,3.970331,-0.000000,0.138658
0.020000,8.906468,13.811527,2.490192,4.446771,3.970331,0.000000,0.141439
