dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.433895,12.609618,0.000794,0.079407,3.970331,198.516556,6.282603
0.020000,6.434092,12.609618,0.000990,0.009819,-3.479364,-372.484764,6.282799
0.020000,6.434419,12.609617,0.001318,0.016353,0.326698,190.303119,6.283126
0.020000,6.439717,12.609619,0.006615,0.264896,12.427136,605.021869,0.000398
0.020000,6.447451,12.609624,0.014349,0.386691,6.089738,-316.869865,0.000985
0.020000,6.456902,12.609637,0.023800,0.472557,4.293287,-89.822569,0.001702
0.020000,6.468069,12.609660,0.034968,0.558381,4.291230,-0.102827,0.002547
0.020000,6.480953,12.609699,0.047851,0.644167,4.289306,-0.096203,0.003519
0.020000,6.495550,12.609759,0.062449,0.729890,4.286124,-0.159118,0.004618
0.020000,6.511861,12.609844,0.078760,0.815556,4.283316,-0.140401,0.005842
0.020000,6.529884,12.609961,0.096783,0.901155,4.279951,-0.168261,0.007189
0.020000,6.549617,12.610118,0.116517,0.986676,4.276038,-0.195654,0.008659
0.020000,6.571058,12.610321,0.137959,1.072109,4.271682,-0.217786,0.010250
0.020000,6.594206,12.610578,0.161108,1.157459,4.267456,-0.211274,0.011959
0.020000,6.619058,12.610898,0.185962,1.242704,4.262266,-0.259511,0.013785
0.020000,6.645612,12.611290,0.212519,1.327841,4.256863,-0.270151,0.015726
0.020000,6.673865,12.611763,0.240776,1.412866,4.251244,-0.280952,0.017779
0.020000,6.703815,12.612328,0.270732,1.497765,4.244971,-0.313660,0.019942
0.020000,6.735459,12.612995,0.302382,1.582534,4.238409,-0.328085,0.022213
0.020000,6.768793,12.613775,0.335726,1.667161,4.231343,-0.353334,0.024587
0.020000,6.803814,12.614680,0.370758,1.751639,4.223943,-0.369974,0.027063
0.020000,6.840518,12.615721,0.407478,1.835959,4.215987,-0.397813,0.029638
0.020000,6.878902,12.616910,0.445880,1.920118,4.207963,-0.401206,0.032307
0.020000,6.918961,12.618260,0.485962,2.004097,4.198916,-0.452317,0.035068
0.020000,6.960692,12.619784,0.527720,2.087894,4.189877,-0.451970,0.037916
0.020000,7.004088,12.621494,0.571150,2.171500,4.180265,-0.480610,0.040849
0.020000,7.049145,12.623404,0.616248,2.254902,4.170105,-0.508009,0.043862
0.020000,7.095859,12.625526,0.663010,2.338095,4.159660,-0.522228,0.046950
0.020000,7.144223,12.627875,0.711431,2.421067,4.148586,-0.553708,0.050110
0.020000,7.194233,12.630464,0.761507,2.503811,4.137242,-0.567171,0.053336
0.020000,7.245881,12.633307,0.813234,2.586318,4.125346,-0.594825,0.056624
0.020000,7.299162,12.636417,0.866605,2.668577,4.112925,-0.621038,0.059970
0.020000,7.354069,12.639808,0.921617,2.750580,4.100137,-0.639390,0.063367
0.020000,7.410595,12.643492,0.978263,2.832317,4.086863,-0.663706,0.066811
0.020000,7.468734,12.647484,1.036539,2.913781,4.073203,-0.682995,0.070296
0.020000,7.528478,12.651797,1.096438,2.994961,4.059028,-0.708771,0.073816
0.020000,7.589819,12.656443,1.157955,3.075849,4.044368,-0.733007,0.077367
