dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,16.154377,14.638332,0.000800,0.080000,4.000000,200.000000,1.569405
0.020000,16.154377,14.638230,0.000902,0.005119,-3.744074,-387.203691,1.569508
0.020000,16.154377,14.638059,0.001073,0.008534,0.170750,195.741199,1.569678
0.020000,16.154377,14.637820,0.001312,0.011953,0.170949,0.009959,1.569917
0.020000,16.154376,14.637513,0.001620,0.015377,0.171228,0.013952,1.570225
0.020000,16.154376,14.637136,0.001996,0.018809,0.171588,0.017956,1.570601
0.020000,16.154375,14.642530,0.007389,0.269673,12.543206,618.580940,1.571046
0.020000,16.154370,14.654019,0.018878,0.574459,15.239304,134.804887,1.571561
0.020000,16.154356,14.667028,0.031888,0.650455,3.799788,-571.975826,1.572145
0.020000,16.154332,14.681580,0.046439,0.727596,3.857081,2.864694,1.572799
0.020000,16.154294,14.697649,0.062509,0.803474,3.793901,-3.159003,1.573524
0.020000,16.154238,14.715258,0.080118,0.880449,3.848733,2.741575,1.574321
0.020000,16.154163,14.734383,0.099243,0.956248,3.789922,-2.940548,1.575189
0.020000,16.154062,14.755047,0.119907,1.033188,3.847033,2.855549,1.576131
0.020000,16.153933,14.777233,0.142093,1.109334,3.807297,-1.986799,1.577146
0.020000,16.153769,14.800940,0.165801,1.185379,3.802267,-0.251500,1.578234
0.020000,16.153567,14.826172,0.191033,1.261619,3.811981,0.485717,1.579398
0.020000,16.153320,14.852934,0.217797,1.338197,3.828891,0.845504,1.580638
0.020000,16.153023,14.881218,0.246082,1.414235,3.801879,-1.350605,1.581955
0.020000,16.152670,14.911021,0.275887,1.490269,3.801714,-0.008265,1.583351
0.020000,16.152253,14.942343,0.307213,1.566270,3.800073,-0.082027,1.584825
0.020000,16.151767,14.975184,0.340057,1.642209,3.796938,-0.156746,1.586380
0.020000,16.151204,15.009540,0.374418,1.718055,3.792291,-0.232389,1.588017
0.020000,16.150555,15.045410,0.410294,1.793777,3.786112,-0.308923,1.589737
0.020000,16.149813,15.082803,0.447694,1.870011,3.811693,1.279041,1.591542
0.020000,16.148969,15.121706,0.486606,1.945595,3.779213,-1.624023,1.593433
0.020000,16.148014,15.162113,0.527024,2.020929,3.766702,-0.625540,1.595412
0.020000,16.146939,15.204029,0.568954,2.096500,3.778525,0.591171,1.597480
0.020000,16.145733,15.247457,0.612398,2.172203,3.785141,0.330814,1.599640
0.020000,16.144386,15.292377,0.657339,2.247016,3.740661,-2.224049,1.601893
0.020000,16.142887,15.338810,0.703797,2.322896,3.794019,2.667933,1.604242
0.020000,16.141226,15.386732,0.751747,2.397536,3.731991,-3.101417,1.606688
0.020000,16.139388,15.436153,0.801202,2.472733,3.759836,1.392241,1.609233
0.020000,16.137363,15.487068,0.852157,2.547776,3.752156,-0.383969,1.611881
0.020000,16.135137,15.539467,0.904604,2.622310,3.726719,-1.271880,1.614633
0.020000,16.132696,15.593349,0.958541,2.696851,3.727064,0.017249,1.617492
0.020000,16.130027,15.648714,1.013970,2.771463,3.730597,0.176689,1.620461
0.020000,16.127113,15.705559,1.070890,2.846004,3.727011,-0.179328,1.623543
0.020000,16.123941,15.763876,1.129293,2.920137,3.706655,-1.017778,1.626740
0.020000,16.120494,15.823659,1.189175,2.994116,3.698948,-0.385385,1.630056
0.020000,16.116755,15.884907,1.250537,3.068115,3.699945,0.049870,1.633494
0.020000,16.112706,15.947616,1.313377,3.141994,3.693970,-0.298761,1.637058
0.020000,16.108330,16.011776,1.377686,3.215440,3.672295,-1.083759,1.640752
0.020000,16.103607,16.077377,1.443457,3.288556,3.655789,-0.825296,1.644577
0.020000,16.098518,16.144421,1.510693,3.361810,3.662706,0.345882,1.648540
0.020000,16.093042,16.212901,1.579392,3.434928,3.655907,-0.339973,1.652645
0.020000,16.087159,16.282799,1.649538,3.507289,3.618049,-1.892886,1.656895
0.020000,16.080845,16.354124,1.721141,3.580165,3.643794,1.287257,1.661295
0.020000,16.074079,16.426854,1.794186,3.652238,3.603685,-2.005467,1.665850
0.020000,16.066836,16.500981,1.868665,3.723957,3.585934,-0.887548,1.670565
0.020000,16.059090,16.576507,1.944587,3.796131,3.608672,1.136883,1.675446
0.020000,16.050816,16.653413,2.021938,3.867511,3.569033,-1.981953,1.680498
0.020000,16.041988,16.731689,2.100710,3.938595,3.554174,-0.742916,1.685726
0.020000,16.032577,16.811323,2.180898,4.009420,3.541239,-0.646744,1.691138
0.020000,16.022555,16.892304,2.262496,4.079923,3.525180,-0.802971,1.696738
0.020000,16.011891,16.974617,2.345497,4.150042,3.505937,-0.962132,1.702535
0.020000,16.000555,17.058250,2.429895,4.219892,3.492503,-0.671717,1.708535
0.020000,15.988512,17.143195,2.515689,4.289716,3.491211,-0.064613,1.714745
0.020000,15.975731,17.229423,2.602859,4.358489,3.438663,-2.627390,1.721173
0.020000,15.962176,17.316925,2.691405,4.427285,3.439774,0.055556,1.727828
0.020000,15.947810,17.405679,2.781315,4.495484,3.409935,-1.491954,1.734717
0.020000,15.932596,17.495672,2.872585,4.563497,3.400654,-0.464034,1.741849
0.020000,15.916496,17.586874,2.965197,4.630627,3.356542,-2.205635,1.749234
0.020000,15.899468,17.679268,3.059146,4.697465,3.341882,-0.732996,1.756881
0.020000,15.881471,17.772834,3.154427,4.764048,3.329155,-0.636351,1.764800
0.020000,15.862461,17.867542,3.251025,4.829883,3.291760,-1.869747,1.773002
0.020000,15.842393,17.963369,3.348930,4.895259,3.268757,-1.150113,1.781497
0.020000,15.821220,18.060286,3.448133,4.960148,3.244484,-1.213670,1.790297
0.020000,15.798895,18.158259,3.548618,5.024217,3.203428,-2.052802,1.799413
0.020000,15.775370,18.257251,3.650367,5.087473,3.162827,-2.030070,1.808857
0.020000,15.750588,18.357245,3.753386,5.150943,3.173462,0.531763,1.818644
0.020000,15.724502,18.458185,3.857642,5.212796,3.092664,-4.039894,1.828784
0.020000,15.697054,18.560044,3.963135,5.274652,3.092789,0.006271,1.839291
0.020000,15.668188,18.662778,4.069847,5.335621,3.048462,-2.216382,1.850180
0.020000,15.637846,18.766341,4.177763,5.395783,3.008105,-2.017858,1.861464
0.020000,15.606184,18.869997,4.286147,5.419196,1.170646,-91.872918,1.873079
0.020000,15.573386,18.973025,4.394270,5.406153,-0.652127,-91.138657,1.884955
0.020000,15.539437,19.075401,4.502128,5.392902,-0.662560,-0.521632,1.897094
0.020000,15.504321,19.177098,4.609717,5.379448,-0.672723,-0.508174,1.909502
0.020000,15.468023,19.278097,4.717041,5.366186,-0.663072,0.482552,1.922180
0.020000,15.430529,19.378365,4.824089,5.352442,-0.687205,-1.206668,1.935132
0.020000,15.391828,19.477875,4.930860,5.338512,-0.696495,-0.464507,1.948359
0.020000,15.351903,19.576602,5.037354,5.324718,-0.689714,0.339098,1.961864
0.020000,15.310742,19.674521,5.143572,5.310921,-0.689874,-0.008007,1.975646
0.020000,15.268335,19.771598,5.249508,5.296765,-0.707780,-0.895310,1.989706
0.020000,15.224667,19.867815,5.355171,5.283181,-0.679171,1.430421,2.004045
0.020000,15.179730,19.963136,5.460553,5.269106,-0.703762,-1.229521,2.018659
0.020000,15.133511,20.057540,5.565664,5.255534,-0.678612,1.257499,2.033549
0.020000,15.086002,20.150997,5.670503,5.241959,-0.678733,-0.006041,2.048709
0.020000,15.037195,20.243478,5.775073,5.228474,-0.674262,0.223524,2.064137
0.020000,14.987081,20.334959,5.879382,5.215450,-0.651182,1.154030,2.079826
0.020000,14.935651,20.425416,5.983437,5.202741,-0.635460,0.786101,2.095772
0.020000,14.882901,20.514819,6.087242,5.190270,-0.623560,0.595003,2.111965
0.020000,14.828825,20.603146,6.190807,5.178256,-0.600725,1.141726,2.128399
0.020000,14.773418,20.690371,6.294142,5.166747,-0.575450,1.263728,2.145062
0.020000,14.716677,20.776471,6.397258,5.155795,-0.547591,1.392976,2.161945
0.020000,14.658598,20.861425,6.500167,5.145454,-0.517036,1.527742,2.179035
0.020000,14.599179,20.945210,6.602883,5.135780,-0.483715,1.666063,2.196317
