dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.154376,14.636941,0.000800,0.080000,4.000000,200.000000,1.569405
0.020000,17.154376,14.636941,0.003200,0.160000,4.000000,0.000000,1.569508
0.020000,17.154376,14.636941,0.007200,0.240000,4.000000,-0.000000,1.569678
0.020000,17.154376,14.636941,0.012800,0.320000,4.000000,0.000000,1.569917
0.020000,17.154376,14.636941,0.020000,0.400000,4.000000,0.000000,1.570225
0.020000,17.154376,14.636941,0.028800,0.480000,4.000000,-0.000000,1.570601
0.020000,17.154375,14.642780,0.039200,0.560000,4.000000,0.000000,1.571046
0.020000,17.154369,14.654783,0.051200,0.640000,4.000000,-0.000000,1.571561
0.020000,17.154355,14.668376,0.064800,0.720000,4.000000,0.000000,1.572145
0.020000,17.154330,14.683583,0.080000,0.800000,4.000000,0.000000,1.572799
0.020000,17.154290,14.700378,0.096800,0.880000,4.000000,-0.000000,1.573524
0.020000,17.154232,14.718783,0.115200,0.960000,4.000000,0.000000,1.574321
0.020000,17.154153,14.738776,0.135200,1.040000,4.000000,0.000000,1.575189
0.020000,17.154048,14.760381,0.156800,1.120000,4.000000,0.000000,1.576131
0.020000,17.153913,14.783582,0.180000,1.200000,4.000000,0.000000,1.577146
0.020000,17.153742,14.808378,0.204800,1.280000,4.000000,-0.000000,1.578234
0.020000,17.153530,14.834773,0.231200,1.360000,4.000000,0.000000,1.579398
0.020000,17.153272,14.862776,0.259200,1.440000,4.000000,0.000000,1.580638
0.020000,17.152961,14.892376,0.288800,1.520000,4.000000,0.000000,1.581955
0.020000,17.152591,14.923575,0.320000,1.600000,4.000000,0.000000,1.583351
0.020000,17.152155,14.956372,0.352800,1.680000,4.000000,0.000000,1.584825
0.020000,17.151646,14.990767,0.387200,1.760000,4.000000,-0.000000,1.586380
0.020000,17.151055,15.026760,0.423200,1.840000,4.000000,0.000000,1.588017
0.020000,17.150376,15.064350,0.460800,1.920000,4.000000,0.000000,1.589737
0.020000,17.149598,15.103547,0.500000,2.000000,4.000000,0.000000,1.591542
