dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,18.154375,14.635550,0.000800,0.080000,4.000000,200.000000,1.569405
0.020000,18.154375,14.635652,0.000902,0.005119,-3.744074,-387.203691,1.569508
0.020000,18.154376,14.635823,0.001073,0.008534,0.170750,195.741199,1.569678
0.020000,18.154376,14.636062,0.001312,0.011953,0.170949,0.009959,1.569917
0.020000,18.154376,14.636370,0.001620,0.015377,0.171228,0.013952,1.570225
0.020000,18.154376,14.636746,0.001996,0.018809,0.171588,0.017956,1.570601
0.020000,18.154375,14.643030,0.008280,0.314199,14.769488,729.895036,1.571046
0.020000,18.154369,14.655548,0.020798,0.625915,15.585825,40.816823,1.571561
0.020000,18.154354,14.669725,0.034975,0.708844,4.146462,-571.968159,1.572145
0.020000,18.154328,14.685586,0.050836,0.793070,4.211295,3.241689,1.572799
0.020000,18.154286,14.703106,0.068356,0.875973,4.145122,-3.308683,1.573524
0.020000,18.154226,14.722308,0.087558,0.960131,4.207893,3.138548,1.574321
0.020000,18.154143,14.743169,0.108420,1.043072,4.147057,-3.041786,1.575189
0.020000,18.154034,14.765716,0.130966,1.127331,4.212966,3.295437,1.576131
0.020000,18.153892,14.789931,0.155183,1.210802,4.173551,-1.970706,1.577146
0.020000,18.153714,14.815816,0.181067,1.294248,4.172310,-0.062058,1.578234
0.020000,18.153493,14.843375,0.208627,1.377998,4.187505,0.759743,1.579398
0.020000,18.153223,14.872618,0.237872,1.462217,4.210927,1.171096,1.580638
0.020000,18.152899,14.903535,0.268791,1.545951,4.186715,-1.210593,1.581955
0.020000,18.152512,14.936129,0.301387,1.629795,4.192188,0.273624,1.583351
0.020000,18.152057,14.970400,0.335661,1.713723,4.196424,0.211825,1.584825
0.020000,18.151524,15.006351,0.371615,1.797712,4.199412,0.149411,1.586380
0.020000,18.150907,15.043980,0.409250,1.881734,4.201141,0.086428,1.588017
0.020000,18.150196,15.083289,0.448565,1.965766,4.201599,0.022921,1.589737
0.020000,18.149383,15.124291,0.489576,2.050513,4.237311,1.785590,1.591542
0.020000,18.148457,15.166975,0.532270,2.134709,4.209819,-1.374615,1.593433
0.020000,18.147408,15.211339,0.576646,2.218802,4.204638,-0.259069,1.595412
0.020000,18.146227,15.257391,0.622713,2.303335,4.226648,1.100530,1.597480
0.020000,18.144901,15.305136,0.670477,2.388204,4.243473,0.841252,1.599640
0.020000,18.143419,15.354560,0.719923,2.472296,4.204607,-1.943320,1.601893
0.020000,18.141769,15.405689,0.771078,2.557775,4.273913,3.465306,1.604242
0.020000,18.139937,15.458499,0.823920,2.642110,4.216771,-2.857097,1.606688
0.020000,18.137911,15.513008,0.878466,2.727293,4.259166,2.119761,1.609233
0.020000,18.135675,15.569214,0.934717,2.812555,4.263058,0.194573,1.611881
0.020000,18.133215,15.627112,0.992668,2.897513,4.247941,-0.755817,1.614633
0.020000,18.130516,15.686706,1.052323,2.982752,4.261929,0.699390,1.617492
0.020000,18.127561,15.748002,1.113690,3.068355,4.280162,0.911646,1.620461
0.020000,18.124332,15.811003,1.176773,3.154180,4.291263,0.555040,1.623543
0.020000,18.120812,15.875705,1.241571,3.239871,4.284516,-0.337353,1.626740
0.020000,18.116983,15.942109,1.308085,3.325722,4.292545,0.401458,1.630056
0.020000,18.112825,16.010221,1.376324,3.411943,4.311079,0.926716,1.633494
0.020000,18.108317,16.080044,1.446292,3.498398,4.322753,0.583674,1.637058
0.020000,18.103438,16.151572,1.517987,3.584755,4.317826,-0.246314,1.640752
0.020000,18.098166,16.224806,1.591410,3.671146,4.319541,0.085737,1.644577
0.020000,18.092477,16.299752,1.666572,3.758114,4.348398,1.442837,1.648540
0.020000,18.086347,16.376415,1.743480,3.845374,4.363025,0.731339,1.652645
0.020000,18.079751,16.454783,1.822125,3.932252,4.343911,-0.955701,1.656895
0.020000,18.072661,16.534874,1.902529,4.020197,4.397218,2.665348,1.661295
0.020000,18.065050,16.616676,1.984684,4.107754,4.377849,-0.968447,1.665850
0.020000,18.056890,16.700187,2.068593,4.195448,4.384725,0.343790,1.670565
0.020000,18.048148,16.785424,2.154277,4.284220,4.438590,2.693296,1.675446
0.020000,18.038794,16.872376,2.241731,4.372690,4.423521,-0.753474,1.680498
0.020000,18.028793,16.961043,2.330960,4.461446,4.437760,0.711959,1.685726
0.020000,18.018113,17.051425,2.421971,4.550559,4.455669,0.895447,1.691138
0.020000,18.006715,17.143523,2.514771,4.639991,4.471597,0.796391,1.696738
0.020000,17.994561,17.237333,2.609365,4.729701,4.485517,0.695982,1.702535
0.020000,17.981613,17.332856,2.705762,4.819856,4.507747,1.111516,1.708535
0.020000,17.967827,17.430099,2.803977,4.910770,4.545701,1.897725,1.714745
0.020000,17.953160,17.529044,2.904004,5.001306,4.526797,-0.945196,1.721173
0.020000,17.937567,17.629698,3.005858,5.092731,4.571234,2.221843,1.727828
0.020000,17.921000,17.732054,3.109546,5.184374,4.582157,0.546124,1.734717
0.020000,17.903408,17.836112,3.215081,5.276750,4.618829,1.833587,1.741849
0.020000,17.884740,17.941859,3.322463,5.369097,4.617337,-0.074582,1.749234
0.020000,17.864941,18.049292,3.431705,5.462138,4.652044,1.735377,1.756881
0.020000,17.843952,18.158411,3.542825,5.555965,4.691367,1.966151,1.764800
0.020000,17.821713,18.269202,3.655826,5.650050,4.704251,0.644165,1.773002
0.020000,17.798162,18.381658,3.770721,5.744775,4.736211,1.598030,1.781497
0.020000,17.773233,18.495770,3.887524,5.840156,4.769085,1.643695,1.790297
0.020000,17.746857,18.611520,4.006241,5.935847,4.784522,0.771813,1.799413
0.020000,17.718964,18.728889,4.126879,6.031900,4.802650,0.906414,1.808857
0.020000,17.689474,18.847881,4.249471,6.129580,4.883988,4.066912,1.818644
0.020000,17.658313,18.968455,4.374006,6.226758,4.858902,-1.254280,1.828784
0.020000,17.625397,19.090605,4.500514,6.325404,4.932304,3.670087,1.839291
0.020000,17.590639,19.214305,4.629004,6.424498,4.954717,1.120648,1.850180
0.020000,17.553952,19.339524,4.759487,6.524169,4.983561,1.442213,1.861464
0.020000,17.515503,19.465397,4.891101,6.580705,2.826788,-107.838685,1.873079
0.020000,17.475500,19.591058,5.022976,6.593705,0.649994,-108.839666,1.884955
0.020000,17.433908,19.716478,5.155113,6.606870,0.658252,0.412878,1.897094
0.020000,17.390693,19.841631,5.287516,6.620169,0.664932,0.333994,1.909502
0.020000,17.345817,19.966492,5.420197,6.634048,0.693954,1.451120,1.922180
0.020000,17.299251,20.091023,5.553150,6.647624,0.678837,-0.755871,1.935132
0.020000,17.250959,20.215187,5.686374,6.661206,0.679078,0.012041,1.948359
0.020000,17.200909,20.338952,5.819877,6.675132,0.696276,0.859941,1.961864
0.020000,17.149065,20.462282,5.953660,6.689161,0.701466,0.259473,1.975646
0.020000,17.095401,20.585127,6.087715,6.702768,0.680338,-1.056408,1.989706
0.020000,17.039880,20.707458,6.222056,6.717044,0.713842,1.675202,2.004045
0.020000,16.982479,20.829217,6.356667,6.730550,0.675275,-1.928351,2.018659
0.020000,16.923165,20.950366,6.491556,6.744451,0.695039,0.988199,2.033549
0.020000,16.861915,21.070851,6.626716,6.757996,0.677261,-0.888878,2.048709
0.020000,16.798707,21.190618,6.762140,6.771187,0.659548,-0.885670,2.064137
0.020000,16.733516,21.309620,6.897827,6.784385,0.659922,0.018688,2.079826
0.020000,16.666324,21.427799,7.033773,6.797276,0.644548,-0.768699,2.095772
0.020000,16.597115,21.545096,7.169965,6.809627,0.617536,-1.350587,2.111965
0.020000,16.525877,21.661453,7.306397,6.821587,0.597983,-0.977641,2.128399
0.020000,16.452601,21.776808,7.443059,6.833081,0.574699,-1.164178,2.145062
0.020000,16.377279,21.891101,7.579940,6.844036,0.547777,-1.346140,2.161945
0.020000,16.299910,22.004270,7.717027,6.854383,0.517337,-1.522000,2.179035
0.020000,16.220495,22.116249,7.854308,6.864054,0.483532,-1.690220,2.196317
