dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.000495,11.000000,0.000800,0.080000,4.000000,200.000000,6.282690
0.020000,6.000350,11.000000,0.000945,0.007261,-3.636931,-381.846548,6.282835
0.020000,6.000108,11.000000,0.001187,0.012107,0.242278,193.960464,6.283077
0.020000,6.003585,11.000000,0.004665,0.173864,8.087864,392.279292,0.000231
0.020000,6.010349,11.000003,0.011428,0.338171,8.215361,6.374860,0.000668
0.020000,6.018615,11.000011,0.019694,0.413293,3.756095,-222.963308,0.001202
0.020000,6.028383,11.000026,0.029462,0.488398,3.755225,-0.043519,0.001834
0.020000,6.039652,11.000051,0.040731,0.563473,3.753770,-0.072718,0.002564
0.020000,6.052422,11.000089,0.053502,0.638527,3.752675,-0.054779,0.003394
0.020000,6.066693,11.000144,0.067773,0.713550,3.751180,-0.074739,0.004323
0.020000,6.082464,11.000220,0.083544,0.788552,3.750076,-0.055210,0.005352
0.020000,6.099734,11.000322,0.100814,0.863505,3.747661,-0.120727,0.006482
0.020000,6.118502,11.000456,0.119583,0.938423,3.745899,-0.088119,0.007713
0.020000,6.138768,11.000625,0.139849,1.013311,3.744415,-0.074211,0.009047
0.020000,6.160529,11.000838,0.161611,1.088127,3.740783,-0.181603,0.010484
0.020000,6.183786,11.001100,0.184870,1.162919,3.739621,-0.058063,0.012026
0.020000,6.208537,11.001418,0.209623,1.237647,3.736378,-0.162181,0.013673
0.020000,6.234780,11.001800,0.235869,1.312314,3.733340,-0.151905,0.015427
0.020000,6.262515,11.002253,0.263608,1.386935,3.731065,-0.113748,0.017288
0.020000,6.291740,11.002787,0.292837,1.461478,3.727142,-0.196159,0.019259
0.020000,6.322453,11.003411,0.323556,1.535960,3.724106,-0.151779,0.021339
0.020000,6.354652,11.004133,0.355764,1.610365,3.720226,-0.193999,0.023532
0.020000,6.388336,11.004965,0.389458,1.684700,3.716776,-0.172478,0.025838
0.020000,6.423502,11.005916,0.424637,1.758954,3.712712,-0.203228,0.028259
0.020000,6.460148,11.006999,0.461299,1.833115,3.708036,-0.233785,0.030797
0.020000,6.498273,11.008224,0.499443,1.907216,3.705054,-0.149124,0.033452
0.020000,6.537873,11.009604,0.539067,1.981199,3.699137,-0.295851,0.036228
0.020000,6.578946,11.011152,0.580169,2.055097,3.694887,-0.212497,0.039126
0.020000,6.621488,11.012882,0.622747,2.128897,3.690008,-0.243933,0.042149
0.020000,6.665498,11.014807,0.666799,2.202587,3.684507,-0.275032,0.045297
0.020000,6.710972,11.016943,0.712323,2.276180,3.679636,-0.243574,0.048573
0.020000,6.757905,11.019305,0.759315,2.349646,3.673325,-0.315573,0.051980
0.020000,6.806295,11.021908,0.807776,2.423016,3.668509,-0.240781,0.055520
0.020000,6.856138,11.024770,0.857701,2.496252,3.661796,-0.335649,0.059195
0.020000,6.907430,11.027908,0.909088,2.569379,3.656343,-0.272644,0.063007
