dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.000000,10.000000,0.000800,0.080000,4.000000,200.000000,6.282690
0.020000,6.000000,10.000000,0.003200,0.160000,4.000000,0.000000,6.282835
0.020000,6.000000,10.000000,0.007200,0.240000,4.000000,-0.000000,6.283077
0.020000,6.003816,10.000000,0.012800,0.320000,4.000000,0.000000,0.000231
0.020000,6.011016,10.000004,0.020000,0.400000,4.000000,0.000000,0.000668
0.020000,6.019816,10.000012,0.028800,0.480000,4.000000,-0.000000,0.001202
0.020000,6.030216,10.000028,0.039200,0.560000,4.000000,0.000000,0.001834
0.020000,6.042216,10.000054,0.051200,0.640000,4.000000,-0.000000,0.002564
0.020000,6.055816,10.000095,0.064800,0.720000,4.000000,0.000000,0.003394
0.020000,6.071016,10.000153,0.080000,0.800000,4.000000,0.000000,0.004323
0.020000,6.087816,10.000234,0.096800,0.880000,4.000000,-0.000000,0.005352
0.020000,6.106216,10.000343,0.115200,0.960000,4.000000,0.000000,0.006482
0.020000,6.126215,10.000485,0.135200,1.040000,4.000000,0.000000,0.007713
0.020000,6.147814,10.000666,0.156800,1.120000,4.000000,0.000000,0.009047
0.020000,6.171013,10.000893,0.180000,1.200000,4.000000,0.000000,0.010484
0.020000,6.195812,10.001172,0.204800,1.280000,4.000000,-0.000000,0.012026
0.020000,6.222210,10.001511,0.231200,1.360000,4.000000,0.000000,0.013673
0.020000,6.250206,10.001919,0.259200,1.440000,4.000000,0.000000,0.015427
0.020000,6.279803,10.002403,0.288800,1.520000,4.000000,0.000000,0.017288
0.020000,6.310997,10.002973,0.320000,1.600000,4.000000,0.000000,0.019259
0.020000,6.343791,10.003638,0.352800,1.680000,4.000000,0.000000,0.021339
0.020000,6.378182,10.004410,0.387200,1.760000,4.000000,-0.000000,0.023532
0.020000,6.414171,10.005299,0.423200,1.840000,4.000000,0.000000,0.025838
0.020000,6.451757,10.006316,0.460800,1.920000,4.000000,0.000000,0.028259
0.020000,6.490940,10.007473,0.500000,2.000000,4.000000,0.000000,0.030797
0.020000,6.531719,10.008783,0.540800,2.080000,4.000000,0.000000,0.033452
0.020000,6.574093,10.010260,0.583200,2.160000,4.000000,0.000000,0.036228
0.020000,6.618062,10.011917,0.627200,2.240000,4.000000,0.000000,0.039126
0.020000,6.663624,10.013770,0.672800,2.320000,4.000000,-0.000000,0.042149
0.020000,6.710779,10.015833,0.720000,2.400000,4.000000,0.000000,0.045297
0.020000,6.759526,10.018122,0.768800,2.480000,4.000000,-0.000000,0.048573
0.020000,6.809862,10.020655,0.819200,2.560000,4.000000,0.000000,0.051980
0.020000,6.861787,10.023449,0.871200,2.640000,4.000000,0.000000,0.055520
0.020000,6.915298,10.026521,0.924800,2.720000,4.000000,-0.000000,0.059195
0.020000,6.970396,10.029892,0.980000,2.800000,4.000000,0.000000,0.063007
0.020000,7.027076,10.033580,1.036800,2.880000,4.000000,0.000000,0.066960
0.020000,7.085337,10.037607,1.095200,2.960000,4.000000,0.000000,0.071056
0.020000,7.145176,10.041993,1.155200,3.040000,4.000000,0.000000,0.075297
0.020000,7.206591,10.046762,1.216800,3.120000,4.000000,0.000000,0.079686
0.020000,7.269579,10.051936,1.280000,3.200000,4.000000,0.000000,0.084227
0.020000,7.334136,10.057538,1.344800,3.280000,4.000000,-0.000000,0.088923
0.020000,7.400259,10.063595,1.411200,3.360000,4.000000,0.000000,0.093775
0.020000,7.467944,10.070132,1.479200,3.440000,4.000000,-0.000000,0.098788
0.020000,7.537187,10.077175,1.548800,3.520000,4.000000,-0.000000,0.103965
0.020000,7.607982,10.084753,1.620000,3.600000,4.000000,0.000000,0.109308
0.020000,7.680326,10.092894,1.692800,3.680000,4.000000,0.000000,0.114822
