dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.999505,9.000000,0.000800,0.080000,4.000000,200.000000,6.282690
0.020000,5.999650,9.000000,0.000945,0.007261,-3.636931,-381.846548,6.282835
0.020000,5.999892,9.000000,0.001187,0.012107,0.242278,193.960464,6.283077
0.020000,6.004048,9.000000,0.005343,0.207786,9.783932,477.082686,0.000231
0.020000,6.011684,9.000004,0.012980,0.381822,8.701825,-54.105348,0.000668
0.020000,6.021018,9.000013,0.022314,0.466706,4.244173,-222.882608,0.001202
0.020000,6.032050,9.000029,0.033346,0.551608,4.245142,0.048474,0.001834
0.020000,6.044781,9.000057,0.046076,0.636525,4.245811,0.033420,0.002564
0.020000,6.059210,9.000100,0.060506,0.721470,4.247245,0.071694,0.003394
0.020000,6.075339,9.000163,0.076635,0.806441,4.248590,0.067265,0.004323
0.020000,6.093168,9.000249,0.094464,0.891456,4.250742,0.107582,0.005352
0.020000,6.112697,9.000364,0.113993,0.976492,4.251779,0.051885,0.006482
0.020000,6.133928,9.000515,0.135225,1.061570,4.253924,0.107243,0.007713
0.020000,6.156861,9.000707,0.158159,1.146705,4.256757,0.141663,0.009047
0.020000,6.181497,9.000948,0.182796,1.231856,4.257536,0.038946,0.010484
0.020000,6.207837,9.001244,0.209138,1.317086,4.261492,0.197769,0.012026
0.020000,6.235882,9.001605,0.237185,1.402355,4.263473,0.099085,0.013673
0.020000,6.265633,9.002038,0.266938,1.487677,4.266075,0.130055,0.015427
0.020000,6.297090,9.002552,0.298400,1.573076,4.269933,0.192899,0.017288
0.020000,6.330255,9.003158,0.331570,1.658522,4.272317,0.119229,0.019259
0.020000,6.365129,9.003866,0.366451,1.744044,4.276108,0.189544,0.021339
0.020000,6.401712,9.004687,0.403044,1.829631,4.279344,0.161824,0.023532
0.020000,6.440006,9.005633,0.441350,1.915300,4.283478,0.206692,0.025838
0.020000,6.480013,9.006715,0.481371,2.001047,4.287326,0.192402,0.028259
0.020000,6.521732,9.007947,0.523108,2.086865,4.290896,0.178464,0.030797
0.020000,6.565165,9.009343,0.566564,2.172801,4.296815,0.295955,0.033452
0.020000,6.610314,9.010916,0.611740,2.258798,4.299818,0.150143,0.036228
0.020000,6.657179,9.012683,0.658638,2.344901,4.305149,0.266554,0.039126
0.020000,6.705761,9.014658,0.707260,2.431104,4.310197,0.252426,0.042149
0.020000,6.756060,9.016859,0.757608,2.517404,4.314972,0.238753,0.045297
0.020000,6.808080,9.019302,0.809685,2.603822,4.320907,0.296713,0.048573
0.020000,6.861818,9.022006,0.863491,2.690335,4.325637,0.236500,0.051980
0.020000,6.917278,9.024990,0.919031,2.776985,4.332524,0.344366,0.055520
0.020000,6.974458,9.028273,0.976306,2.863739,4.337685,0.258034,0.059195
0.020000,7.033361,9.031876,1.035319,2.950634,4.344737,0.352635,0.063007
0.020000,7.093985,9.035821,1.096071,3.037635,4.350088,0.267514,0.066960
0.020000,7.156332,9.040130,1.158567,3.124782,4.357311,0.361175,0.071056
0.020000,7.220402,9.044827,1.222808,3.212057,4.363757,0.322321,0.075297
0.020000,7.286193,9.049935,1.288798,3.299480,4.371163,0.370284,0.079686
0.020000,7.353707,9.055481,1.356539,3.387046,4.378290,0.356353,0.084227
0.020000,7.422941,9.061489,1.426034,3.474749,4.385154,0.343205,0.088923
0.020000,7.493897,9.067989,1.497286,3.562631,4.394078,0.446182,0.093775
0.020000,7.566572,9.075008,1.570299,3.650644,4.400650,0.328604,0.098788
0.020000,7.640964,9.082575,1.645076,3.738825,4.409098,0.422401,0.103965
0.020000,7.717073,9.090721,1.721619,3.827170,4.417246,0.407418,0.109308
0.020000,7.794895,9.099479,1.799932,3.915673,4.425113,0.393347,0.114822
0.020000,7.874429,9.108880,1.880020,4.004371,4.434893,0.488988,0.120509
0.020000,7.955670,9.118960,1.961884,4.093215,4.442214,0.366064,0.126374
0.020000,8.038616,9.129753,2.045529,4.182244,4.451453,0.461941,0.132419
0.020000,8.123262,9.141295,2.130958,4.271451,4.460346,0.444659,0.138648
0.020000,8.209602,9.153626,2.218175,4.360829,4.468914,0.428396,0.145065
0.020000,8.297633,9.166783,2.307183,4.450408,4.478940,0.501276,0.151673
0.020000,8.387346,9.180807,2.397986,4.540148,4.487024,0.404197,0.158476
0.020000,8.478736,9.195741,2.490587,4.630080,4.496596,0.478628,0.165478
0.020000,8.571793,9.211626,2.584991,4.720195,4.505739,0.457110,0.172682
0.020000,8.666510,9.228508,2.681201,4.810485,4.514472,0.436671,0.180092
0.020000,8.762877,9.246432,2.779220,4.900968,4.524177,0.485232,0.187711
0.020000,8.860882,9.265445,2.879053,4.991616,4.532410,0.411675,0.195544
0.020000,8.960514,9.285596,2.980702,5.082447,4.541559,0.457430,0.203593
0.020000,9.061758,9.306934,3.084171,5.173450,4.550137,0.428898,0.211863
0.020000,9.164602,9.329511,3.189463,5.264613,4.558166,0.401453,0.220355
0.020000,9.269027,9.353380,3.296582,5.355948,4.566749,0.429141,0.229074
0.020000,9.375018,9.378593,3.405530,5.447427,4.573936,0.359394,0.238023
0.020000,9.482555,9.405207,3.516312,5.539057,4.581499,0.378152,0.247205
0.020000,9.591617,9.433277,3.628928,5.630823,4.588280,0.339040,0.256622
0.020000,9.702182,9.462860,3.743382,5.722709,4.594300,0.301006,0.266277
0.020000,9.814226,9.494016,3.859676,5.814717,4.600418,0.305898,0.276171
0.020000,9.927721,9.526803,3.977813,5.906815,4.604905,0.224341,0.286308
0.020000,10.042640,9.561283,4.097793,5.999000,4.609244,0.216920,0.296689
0.020000,10.158951,9.597517,4.219618,6.091250,4.612512,0.163410,0.307314
0.020000,10.276623,9.635567,4.343289,6.183545,4.614734,0.111090,0.318186
0.020000,10.395621,9.675495,4.468806,6.275872,4.616333,0.079984,0.329304
0.020000,10.515905,9.717366,4.596170,6.368196,4.616196,-0.006839,0.340668
0.020000,10.637437,9.761243,4.725380,6.460500,4.615227,-0.048449,0.352279
0.020000,10.760174,9.807190,4.856435,6.552757,4.612847,-0.119016,0.364135
0.020000,10.883252,9.854947,4.988454,6.600920,2.408124,-110.236145,0.376154
0.020000,11.005818,9.904214,5.120551,6.604854,0.196744,-110.569032,0.388252
0.020000,11.127845,9.954992,5.252721,6.608514,0.183001,-0.687121,0.400423
0.020000,11.249304,10.007283,5.384959,6.611891,0.168835,-0.708307,0.412662
0.020000,11.370170,10.061086,5.517258,6.614974,0.154139,-0.734802,0.424962
0.020000,11.490413,10.116397,5.649613,6.617747,0.138667,-0.773588,0.437318
0.020000,11.610007,10.173215,5.782018,6.620215,0.123389,-0.763910,0.449723
0.020000,11.728924,10.231533,5.914465,6.622365,0.107496,-0.794651,0.462172
0.020000,11.847138,10.291345,6.046949,6.624191,0.091282,-0.810703,0.474656
0.020000,11.964621,10.352644,6.179462,6.625679,0.074409,-0.843657,0.487171
0.020000,12.081347,10.415421,6.311999,6.626838,0.057950,-0.822958,0.499708
0.020000,12.197291,10.479665,6.444552,6.627662,0.041190,-0.837975,0.512262
0.020000,12.312428,10.545366,6.577115,6.628146,0.024227,-0.848176,0.524826
0.020000,12.426732,10.612509,6.709681,6.628290,0.007211,-0.850773,0.537393
0.020000,12.540180,10.681081,6.842243,6.628094,-0.009797,-0.850404,0.549956
0.020000,12.652749,10.751067,6.974794,6.627560,-0.026737,-0.847008,0.562508
0.020000,12.764417,10.822450,7.107328,6.626689,-0.043548,-0.840541,0.575042
0.020000,12.875162,10.895212,7.239837,6.625485,-0.060167,-0.830978,0.587553
0.020000,12.984964,10.969336,7.372317,6.623955,-0.076534,-0.818311,0.600033
0.020000,13.093803,11.044801,7.504759,6.622103,-0.092585,-0.802554,0.612476
0.020000,13.201661,11.121587,7.637157,6.619938,-0.108260,-0.783740,0.624876
0.020000,13.308520,11.199673,7.769507,6.617468,-0.123498,-0.761918,0.637226
0.020000,13.414365,11.279036,7.901800,6.614681,-0.139361,-0.793162,0.649520
0.020000,13.519180,11.359653,8.034033,6.611611,-0.153469,-0.705400,0.661753
0.020000,13.622951,11.441503,8.166198,6.608280,-0.166566,-0.654850,0.673920
0.020000,13.725665,11.524559,8.298291,6.604648,-0.181577,-0.750538,0.686014
0.020000,13.827311,11.608798,8.430307,6.600779,-0.193473,-0.594825,0.698030
0.020000,13.927878,11.694195,8.562240,6.596653,-0.206318,-0.642223,0.709964
0.020000,14.027357,11.780724,8.694086,6.592302,-0.217513,-0.559783,0.721811
0.020000,14.125739,11.868361,8.825840,6.587701,-0.230075,-0.628064,0.733566
0.020000,14.223017,11.957078,8.957498,6.582926,-0.238764,-0.434461,0.745225
0.020000,14.319187,12.046851,9.089057,6.577945,-0.249040,-0.513776,0.756784
0.020000,14.414242,12.137653,9.220512,6.572741,-0.260183,-0.557153,0.768240
0.020000,14.508178,12.229458,9.351860,6.567401,-0.267010,-0.341369,0.779589
0.020000,14.596270,12.317557,9.476445,6.229254,-16.907329,-832.015952,0.792482
0.020000,14.691771,12.416102,9.613674,6.861425,31.608509,2425.791905,0.809711
0.020000,14.785700,12.516448,9.751122,6.872420,0.549758,-1552.937547,0.827162
0.020000,14.877990,12.618579,9.888774,6.882605,0.509287,-2.023539,0.844816
0.020000,14.968574,12.722472,10.026612,6.891887,0.464054,-2.261663,0.862656
0.020000,15.057389,12.828098,10.164615,6.900172,0.414293,-2.488075,0.880661
0.020000,15.144370,12.935425,10.302763,6.907380,0.360395,-2.694904,0.898810
0.020000,15.229457,13.044414,10.441032,6.913436,0.302798,-2.879844,0.917081
0.020000,15.312591,13.155020,10.579397,6.918276,0.241981,-3.040849,0.935448
0.020000,15.393717,13.267196,10.717835,6.921907,0.181568,-3.020658,0.953888
0.020000,15.472785,13.380889,10.856319,6.924190,0.114127,-3.372010,0.972374
0.020000,15.549748,13.496041,10.994823,6.925188,0.049931,-3.209800,0.990880
0.020000,15.624562,13.612591,11.133319,6.924783,-0.020269,-3.510003,1.009378
0.020000,15.697191,13.730474,11.271779,6.923013,-0.088517,-3.412417,1.027840
0.020000,15.767603,13.849621,11.410176,6.919867,-0.157260,-3.437173,1.046239
0.020000,15.835772,13.969961,11.548483,6.915350,-0.225851,-3.429511,1.064548
0.020000,15.901677,14.091423,11.686673,6.909477,-0.293666,-3.390759,1.082740
0.020000,15.965303,14.213931,11.824718,6.902275,-0.360121,-3.322752,1.100787
0.020000,16.026643,14.337410,11.962594,6.893781,-0.424676,-3.227765,1.118665
0.020000,16.085695,14.461784,12.100275,6.884044,-0.486845,-3.108441,1.136347
0.020000,16.142461,14.586978,12.237737,6.873120,-0.546199,-2.967710,1.153811
0.020000,16.196952,14.712916,12.374959,6.861073,-0.602373,-2.808700,1.171035
0.020000,16.249182,14.839526,12.511918,6.847979,-0.654686,-2.615633,1.187996
0.020000,16.299172,14.966734,12.648596,6.833898,-0.704056,-2.468491,1.204675
0.020000,16.346947,15.094470,12.784974,6.818911,-0.749331,-2.263781,1.221055
0.020000,16.392539,15.222666,12.921036,6.803105,-0.790302,-2.048549,1.237119
0.020000,16.435710,15.350438,13.055904,6.743399,-2.985320,-109.750874,1.252752
0.020000,16.476271,15.476856,13.188670,6.638290,-5.255453,-113.506684,1.267847
0.020000,16.514330,15.601815,13.319296,6.531282,-5.350386,-4.746610,1.282402
0.020000,16.550007,15.725253,13.447786,6.424513,-5.338453,0.596617,1.296422
0.020000,16.583419,15.847116,13.574148,6.318071,-5.322092,0.818070,1.309912
0.020000,16.614683,15.967359,13.698388,6.212036,-5.301786,1.015306,1.322882
0.020000,16.643911,16.085940,13.820518,6.106472,-5.278152,1.181709,1.335340
0.020000,16.671211,16.202823,13.940547,6.001438,-5.251706,1.322273,1.347298
0.020000,16.696688,16.317977,14.058486,5.896969,-5.223477,1.411465,1.358766
0.020000,16.720446,16.431378,14.174348,5.793118,-5.192565,1.545581,1.369757
0.020000,16.742580,16.543002,14.288146,5.689899,-5.160902,1.583172,1.380284
0.020000,16.763185,16.652833,14.399893,5.587340,-5.127985,1.645827,1.390359
0.020000,16.782351,16.760855,14.509602,5.485459,-5.094037,1.697399,1.399997
0.020000,16.800163,16.867057,14.617287,5.384247,-5.060584,1.672655,1.409210
0.020000,16.816703,16.971429,14.722962,5.283734,-5.025671,1.745647,1.418014
0.020000,16.832049,17.073965,14.826640,5.183906,-4.991412,1.712959,1.426420
0.020000,16.846275,17.174660,14.928335,5.084758,-4.957365,1.702377,1.434444
0.020000,16.859450,17.273512,15.028061,4.986288,-4.923523,1.692088,1.442098
0.020000,16.871643,17.370518,15.125831,4.888485,-4.890122,1.670021,1.449396
0.020000,16.882915,17.465680,15.221657,4.791343,-4.857107,1.650766,1.456351
0.020000,16.893328,17.558998,15.315554,4.694846,-4.824852,1.612730,1.462976
0.020000,16.902936,17.650474,15.407534,4.598970,-4.793815,1.551883,1.469284
0.020000,16.911793,17.740112,15.497608,4.503721,-4.762427,1.569412,1.475287
0.020000,16.919951,17.827915,15.585790,4.409068,-4.732656,1.488525,1.480996
0.020000,16.927456,17.913888,15.672090,4.314999,-4.703466,1.459506,1.486424
0.020000,16.934353,17.998036,15.756520,4.221502,-4.674829,1.431844,1.491583
0.020000,16.940684,18.080364,15.839090,4.128543,-4.647991,1.341913,1.496482
0.020000,16.946489,18.160877,15.919813,4.036129,-4.620700,1.364538,1.501132
0.020000,16.951806,18.239583,15.998698,3.944229,-4.594957,1.287131,1.505545
0.020000,16.956669,18.316486,16.075754,3.852832,-4.569895,1.253122,1.509730
0.020000,16.961111,18.391592,16.150992,3.761908,-4.546191,1.185208,1.513696
0.020000,16.965163,18.464910,16.224422,3.671462,-4.522276,1.195735,1.517454
0.020000,16.968854,18.536444,16.296051,3.581464,-4.499896,1.119007,1.521011
0.020000,16.972211,18.606201,16.365889,3.491902,-4.478105,1.089538,1.524377
0.020000,16.975261,18.674188,16.433944,3.402764,-4.456922,1.059169,1.527561
0.020000,16.978025,18.740411,16.500225,3.314021,-4.437119,0.990144,1.530569
0.020000,16.980528,18.804876,16.564738,3.225678,-4.417162,0.997866,1.533411
0.020000,16.982789,18.867589,16.627492,3.137711,-4.398367,0.939711,1.536093
0.020000,16.984828,18.928557,16.688495,3.050108,-4.380121,0.912330,1.538624
0.020000,16.986663,18.987786,16.747751,2.962844,-4.363199,0.846109,1.541009
0.020000,16.988311,19.045281,16.805270,2.875930,-4.345724,0.873742,1.543255
0.020000,16.989788,19.101048,16.861057,2.789333,-4.329833,0.794548,1.545370
0.020000,16.991108,19.155093,16.915118,2.703047,-4.314316,0.775832,1.547359
0.020000,16.992286,19.207421,16.967459,2.617063,-4.299185,0.756565,1.549229
0.020000,16.993333,19.258037,17.018086,2.531364,-4.284980,0.710268,1.550984
0.020000,16.994262,19.306947,17.067005,2.445944,-4.271006,0.698666,1.552631
0.020000,16.995083,19.354156,17.114221,2.360784,-4.257954,0.652633,1.554175
0.020000,16.995806,19.399668,17.159738,2.275880,-4.245238,0.635789,1.555621
0.020000,16.996441,19.443488,17.203563,2.191222,-4.232872,0.618306,1.556973
0.020000,16.996997,19.485620,17.245699,2.106792,-4.221539,0.566654,1.558237
0.020000,16.997481,19.526069,17.286150,2.022588,-4.210159,0.568996,1.559417
0.020000,16.997901,19.564838,17.324922,1.938595,-4.199648,0.525522,1.560517
0.020000,16.998263,19.601933,17.362018,1.854806,-4.189451,0.509843,1.561541
0.020000,16.998574,19.637355,17.397443,1.771209,-4.179853,0.479924,1.562493
0.020000,16.998839,19.671110,17.431199,1.687797,-4.170610,0.462144,1.563378
0.020000,16.999064,19.703201,17.463290,1.604556,-4.162050,0.427989,1.564197
0.020000,16.999253,19.733630,17.493719,1.521484,-4.153597,0.422668,1.564955
0.020000,16.999411,19.762401,17.522491,1.438563,-4.146061,0.376782,1.565654
0.020000,16.999542,19.789516,17.549607,1.355795,-4.138388,0.383635,1.566298
0.020000,16.999649,19.814979,17.575070,1.273160,-4.131749,0.331975,1.566889
0.020000,16.999736,19.838792,17.598883,1.190658,-4.125108,0.332024,1.567431
0.020000,16.999805,19.860958,17.621048,1.108276,-4.119098,0.300503,1.567924
0.020000,16.999859,19.881478,17.641569,1.026006,-4.113517,0.279052,1.568372
0.020000,16.999901,19.900354,17.660445,0.943837,-4.108424,0.254669,1.568777
0.020000,16.999933,19.917590,17.677681,0.861766,-4.103569,0.242758,1.569141
0.020000,16.999956,19.933185,17.693276,0.779781,-4.099226,0.217133,1.569464
0.020000,16.999973,19.947143,17.707234,0.697875,-4.095303,0.196143,1.569750
0.020000,16.999984,19.959463,17.719555,0.616038,-4.091842,0.173088,1.569999
0.020000,16.999991,19.970149,17.730240,0.534263,-4.088763,0.153934,1.570212
0.020000,16.999996,19.979200,17.739291,0.452541,-4.086098,0.133268,1.570391
0.020000,16.999998,19.986617,17.746708,0.370866,-4.083758,0.116985,1.570537
0.020000,16.999999,19.992401,17.752493,0.289229,-4.081874,0.094190,1.570649
0.020000,17.000000,19.996554,17.756645,0.207615,-4.080680,0.059681,1.570730
0.020000,17.000000,19.999074,17.759165,0.126029,-4.079299,0.069074,1.570778
0.020000,17.000000,19.999963,17.760054,0.044452,-4.078852,0.022334,1.570796
0.020000,17.000000,20.000000,17.760091,0.001832,-2.130973,97.393948,1.570796
0.020000,17.000000,20.000000,17.760091,0.000000,-0.091624,101.967474,1.570796
