dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,23.931667,2.391132,0.000800,0.080000,4.000000,200.000000,3.591280
0.020000,23.930692,2.390663,0.001882,0.054099,-1.295041,-264.752046,3.590198
0.020000,23.926782,2.388786,0.006219,0.216866,8.138317,471.667920,3.588392
0.020000,23.919439,2.385279,0.014356,0.406828,9.498102,67.989234,3.585855
0.020000,23.909972,2.380792,0.024833,0.523844,5.850802,-182.365003,3.582578
0.020000,23.898361,2.375340,0.037660,0.641386,5.877125,1.316127,3.578550
0.020000,23.884579,2.368943,0.052854,0.759680,5.914714,1.879489,3.573757
0.020000,23.868601,2.361627,0.070427,0.878671,5.949517,1.740152,3.568183
0.020000,23.850390,2.353421,0.090402,0.998732,6.003044,2.676327,3.561808
0.020000,23.829909,2.344357,0.112800,1.119874,6.057136,2.704587,3.554611
0.020000,23.807117,2.334478,0.137640,1.242031,6.107837,2.535043,3.546570
0.020000,23.781966,2.323828,0.164953,1.365654,6.181124,3.664392,3.537657
0.020000,23.754405,2.312462,0.194766,1.490628,6.248725,3.380043,3.527844
0.020000,23.724381,2.300439,0.227107,1.617060,6.321585,3.642983,3.517103
0.020000,23.691837,2.287829,0.262009,1.745087,6.401357,3.988581,3.505401
0.020000,23.656712,2.274709,0.299505,1.874793,6.485318,4.198043,3.492705
0.020000,23.618943,2.261167,0.339628,2.006151,6.567909,4.129553,3.478982
0.020000,23.578469,2.247303,0.382411,2.139145,6.649672,4.088157,3.464197
0.020000,23.535224,2.233227,0.427889,2.273911,6.738297,4.431285,3.448319
0.020000,23.489148,2.219063,0.476093,2.410197,6.814310,3.800622,3.431315
0.020000,23.440185,2.204949,0.527049,2.547824,6.881374,3.353219,3.413157
0.020000,23.388283,2.191036,0.580784,2.686732,6.945355,3.199034,3.393822
0.020000,23.333401,2.177490,0.637313,2.826464,6.986612,2.062878,3.373292
0.020000,23.275507,2.164492,0.696648,2.966723,7.012963,1.317506,3.351556
0.020000,23.214589,2.152238,0.758786,3.106928,7.010248,-0.135711,3.328616
0.020000,23.150650,2.140935,0.823716,3.246489,6.978058,-1.609510,3.304485
0.020000,23.083720,2.130802,0.891409,3.384635,6.907281,-3.538858,3.279190
0.020000,23.013855,2.122066,0.961819,3.520498,6.793149,-5.706617,3.252778
0.020000,22.941139,2.114957,1.034881,3.653120,6.631095,-8.102695,3.225313
0.020000,22.865694,2.109705,1.110509,3.781394,6.413692,-10.870161,3.196883
0.020000,22.787673,2.106533,1.188594,3.904269,6.143793,-13.494907,3.167595
0.020000,22.707267,2.105650,1.269005,4.020535,5.813274,-16.525981,3.137581
0.020000,22.624699,2.107246,1.351588,4.129144,5.430435,-19.141948,3.106994
0.020000,22.540224,2.111484,1.436170,4.229089,4.997247,-21.659404,3.076009
0.020000,22.454119,2.118493,1.522559,4.319471,4.519141,-23.905279,3.044816
0.020000,22.366681,2.128365,1.610553,4.399676,4.010235,-25.445303,3.013619
0.020000,22.278215,2.141150,1.699938,4.469279,3.480164,-26.503544,2.982630
0.020000,22.189025,2.156857,1.790500,4.528115,2.941761,-26.920175,2.952064
0.020000,22.099408,2.175451,1.882026,4.576301,2.409338,-26.621132,2.922135
0.020000,22.009641,2.196858,1.974310,4.614185,1.894169,-25.758450,2.893048
0.020000,21.919979,2.220967,2.067157,4.642329,1.407203,-24.348293,2.864998
0.020000,21.830646,2.247637,2.160386,4.661453,0.956198,-22.550243,2.838166
0.020000,21.741834,2.276702,2.253833,4.672366,0.545642,-20.527815,2.812716
0.020000,21.653699,2.307975,2.347352,4.675929,0.178161,-18.374059,2.788796
0.020000,21.566366,2.341254,2.440811,4.672959,-0.148478,-16.331926,2.766534
0.020000,21.479926,2.376326,2.534095,4.664225,-0.436709,-14.411584,2.746048
0.020000,21.394443,2.412973,2.627102,4.650352,-0.693647,-12.846895,2.727440
0.020000,21.309957,2.450969,2.719739,4.631842,-0.925496,-11.592438,2.710802
0.020000,21.226488,2.490087,2.811920,4.609033,-1.140474,-10.748897,2.696221
0.020000,21.144040,2.530093,2.903561,4.582047,-1.349270,-10.439799,2.683779
0.020000,21.062610,2.570753,2.994578,4.550851,-1.559815,-10.527253,2.673562
0.020000,20.982187,2.611825,3.084882,4.515201,-1.782524,-11.135440,2.665657
0.020000,20.902761,2.653063,3.174375,4.474649,-2.027552,-12.251420,2.660164
0.020000,20.824327,2.694209,3.262946,4.428562,-2.304387,-13.841764,2.657193
0.020000,20.746890,2.734995,3.350468,4.376098,-2.623163,-15.938782,2.656871
0.020000,20.670470,2.775144,3.436793,4.316232,-2.993304,-18.507057,2.659346
0.020000,20.595107,2.814358,3.521748,4.247746,-3.424308,-21.550177,2.664791
0.020000,20.520868,2.852329,3.605133,4.169261,-3.924239,-24.996552,2.673406
0.020000,20.447854,2.888731,3.686718,4.079271,-4.499504,-28.763280,2.685420
0.020000,20.376202,2.923227,3.766242,3.976208,-5.153159,-32.682746,2.701095
0.020000,20.306090,2.955473,3.843414,3.858573,-5.881769,-36.430500,2.720722
0.020000,20.237744,2.985127,3.917916,3.725104,-6.673440,-39.583521,2.744619
0.020000,20.171428,3.011863,3.989418,3.575106,-7.499890,-41.322520,2.773114
0.020000,20.107440,3.035390,4.057595,3.408849,-8.312847,-40.647836,2.806534
0.020000,20.046081,3.055477,4.122158,3.228155,-9.034728,-36.094049,2.845167
0.020000,19.987622,3.071977,4.182900,3.037116,-9.551955,-25.861345,2.889219
0.020000,19.932242,3.084847,4.239756,2.842788,-9.716401,-8.222331,2.938758
0.020000,19.879950,3.094154,4.292870,2.655685,-9.355148,18.062660,2.993637
0.020000,19.831311,3.099982,4.341857,2.449349,-10.316764,-48.080800,3.050593
0.020000,19.724387,3.109535,4.449207,5.367516,145.908324,7811.254391,3.054443
0.020000,19.616270,3.118751,4.557716,5.425434,2.895899,-7150.621207,3.058734
0.020000,19.506977,3.127571,4.667365,5.482432,2.849910,-2.299455,3.063485
0.020000,19.396523,3.135929,4.778134,5.538489,2.802852,-2.352940,3.068715
0.020000,19.284926,3.143759,4.890006,5.593585,2.754822,-2.401488,3.074443
0.020000,19.172203,3.150991,5.002960,5.647701,2.705785,-2.451861,3.080689
0.020000,19.059128,3.157508,5.116223,5.663144,0.772144,-96.682049,3.087426
0.020000,18.946462,3.163215,5.229033,5.640512,-1.131614,-95.187873,3.094616
0.020000,18.834211,3.168067,5.341389,5.617794,-1.135865,-0.212536,3.102260
0.020000,18.722381,3.172019,5.453289,5.595007,-1.139380,-0.175776,3.110359
0.020000,18.610978,3.175027,5.564733,5.572167,-1.141967,-0.129370,3.118915
0.020000,18.500011,3.177048,5.675718,5.549299,-1.143421,-0.072660,3.127929
0.020000,18.389487,3.178040,5.786247,5.526429,-1.143521,-0.005034,3.137400
0.020000,18.279415,3.177959,5.896319,5.503588,-1.142040,0.074059,3.147328
0.020000,18.169805,3.176766,6.005935,5.480813,-1.138739,0.165082,3.157711
0.020000,18.060667,3.174420,6.115098,5.458146,-1.133371,0.268384,3.168548
0.020000,17.952012,3.170881,6.223811,5.435632,-1.125687,0.384173,3.179834
0.020000,17.843851,3.166112,6.332077,5.413323,-1.115443,0.512203,3.191567
0.020000,17.736195,3.160074,6.439903,5.391275,-1.102385,0.652939,3.203741
0.020000,17.629055,3.152733,6.547294,5.369550,-1.086268,0.805823,3.216349
0.020000,17.522443,3.144054,6.654258,5.348213,-1.066871,0.969875,3.229384
0.020000,17.416372,3.134002,6.760805,5.327333,-1.043983,1.144357,3.242837
0.020000,17.310852,3.122547,6.866944,5.306984,-1.017422,1.328060,3.256696
0.020000,17.205896,3.109658,6.972689,5.287244,-0.987033,1.519470,3.270951
0.020000,17.101514,3.095305,7.078053,5.268190,-0.952697,1.716778,3.285586
0.020000,16.997718,3.079463,7.183051,5.249903,-0.914340,1.917886,3.300587
0.020000,16.894518,3.062105,7.287700,5.232464,-0.871931,2.120440,3.315937
