dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,23.496983,3.291715,0.000800,0.080000,4.000000,200.000000,3.591280
0.020000,23.496983,3.291715,0.003200,0.160000,4.000000,0.000000,3.590198
0.020000,23.494701,3.290621,0.007200,0.240000,4.000000,-0.000000,3.588392
0.020000,23.489648,3.288207,0.012800,0.320000,4.000000,0.000000,3.585855
0.020000,23.483141,3.285124,0.020000,0.400000,4.000000,0.000000,3.582578
0.020000,23.475176,3.281384,0.028800,0.480000,4.000000,-0.000000,3.578550
0.020000,23.465742,3.277005,0.039200,0.560000,4.000000,0.000000,3.573757
0.020000,23.454832,3.272010,0.051200,0.640000,4.000000,-0.000000,3.568183
0.020000,23.442433,3.266422,0.064800,0.720000,4.000000,0.000000,3.561808
0.020000,23.428533,3.260270,0.080000,0.800000,4.000000,0.000000,3.554611
0.020000,23.413119,3.253589,0.096800,0.880000,4.000000,-0.000000,3.546570
0.020000,23.396175,3.246415,0.115200,0.960000,4.000000,0.000000,3.537657
0.020000,23.377686,3.238790,0.135200,1.040000,4.000000,0.000000,3.527844
0.020000,23.357634,3.230760,0.156800,1.120000,4.000000,0.000000,3.517103
0.020000,23.336002,3.222377,0.180000,1.200000,4.000000,0.000000,3.505401
0.020000,23.312769,3.213700,0.204800,1.280000,4.000000,-0.000000,3.492705
0.020000,23.287919,3.204790,0.231200,1.360000,4.000000,0.000000,3.478982
0.020000,23.261431,3.195716,0.259200,1.440000,4.000000,0.000000,3.464197
0.020000,23.233284,3.186555,0.288800,1.520000,4.000000,0.000000,3.448319
0.020000,23.203462,3.177387,0.320000,1.600000,4.000000,0.000000,3.431315
0.020000,23.171946,3.168301,0.352800,1.680000,4.000000,0.000000,3.413157
0.020000,23.138719,3.159394,0.387200,1.760000,4.000000,-0.000000,3.393822
0.020000,23.103769,3.150767,0.423200,1.840000,4.000000,0.000000,3.373292
0.020000,23.067083,3.142531,0.460800,1.920000,4.000000,0.000000,3.351556
0.020000,23.028654,3.134800,0.500000,2.000000,4.000000,0.000000,3.328616
0.020000,22.988478,3.127698,0.540800,2.080000,4.000000,0.000000,3.304485
0.020000,22.946557,3.121351,0.583200,2.160000,4.000000,0.000000,3.279190
0.020000,22.902898,3.115891,0.627200,2.240000,4.000000,0.000000,3.252778
0.020000,22.857516,3.111454,0.672800,2.320000,4.000000,-0.000000,3.225313
0.020000,22.810432,3.108177,0.720000,2.400000,4.000000,0.000000,3.196883
0.020000,22.761674,3.106194,0.768800,2.480000,4.000000,-0.000000,3.167595
0.020000,22.711279,3.105642,0.819200,2.560000,4.000000,0.000000,3.137581
0.020000,22.659291,3.106647,0.871200,2.640000,4.000000,0.000000,3.106994
0.020000,22.605760,3.109334,0.924800,2.720000,4.000000,-0.000000,3.076009
0.020000,22.550744,3.113813,0.980000,2.800000,4.000000,0.000000,3.044816
0.020000,22.494306,3.120187,1.036800,2.880000,4.000000,0.000000,3.013619
0.020000,22.436509,3.128542,1.095200,2.960000,4.000000,0.000000,2.982630
0.020000,22.377421,3.138950,1.155200,3.040000,4.000000,0.000000,2.952064
0.020000,22.317108,3.151467,1.216800,3.120000,4.000000,0.000000,2.922135
0.020000,22.255635,3.166129,1.280000,3.200000,4.000000,0.000000,2.893048
0.020000,22.193060,3.182958,1.344800,3.280000,4.000000,-0.000000,2.864998
0.020000,22.129438,3.201955,1.411200,3.360000,4.000000,0.000000,2.838166
0.020000,22.064814,3.223108,1.479200,3.440000,4.000000,-0.000000,2.812716
0.020000,21.999223,3.246385,1.548800,3.520000,4.000000,-0.000000,2.788796
0.020000,21.932692,3.271740,1.620000,3.600000,4.000000,0.000000,2.766534
0.020000,21.865236,3.299113,1.692800,3.680000,4.000000,0.000000,2.746048
0.020000,21.796857,3.328431,1.767200,3.760000,4.000000,0.000000,2.727440
0.020000,21.727546,3.359605,1.843200,3.840000,4.000000,-0.000000,2.710802
0.020000,21.657281,3.392537,1.920800,3.920000,4.000000,0.000000,2.696221
0.020000,21.586028,3.427114,2.000000,4.000000,4.000000,0.000000,2.683779
0.020000,21.513740,3.463211,2.080800,4.080000,4.000000,0.000000,2.673562
0.020000,21.440357,3.500690,2.163200,4.160000,4.000000,0.000000,2.665657
0.020000,21.365807,3.539397,2.247200,4.240000,4.000000,0.000000,2.660164
0.020000,21.290004,3.579163,2.332800,4.320000,4.000000,0.000000,2.657193
0.020000,21.212852,3.619800,2.420000,4.400000,4.000000,-0.000000,2.656871
0.020000,21.134240,3.661099,2.508800,4.480000,4.000000,0.000000,2.659346
0.020000,21.054046,3.702825,2.599200,4.560000,4.000000,-0.000000,2.664791
0.020000,20.972137,3.744717,2.691200,4.640000,4.000000,-0.000000,2.673406
0.020000,20.888369,3.786476,2.784800,4.720000,4.000000,0.000000,2.685420
0.020000,20.802591,3.827767,2.880000,4.800000,4.000000,0.000000,2.701095
0.020000,20.714645,3.868207,2.976800,4.880000,4.000000,-0.000000,2.720722
0.020000,20.624373,3.907362,3.075200,4.960000,4.000000,0.000000,2.744619
0.020000,20.531625,3.944739,3.175200,5.040000,4.000000,0.000000,2.773114
0.020000,20.436264,3.979781,3.276800,5.120000,4.000000,0.000000,2.806534
0.020000,20.338185,4.011864,3.380000,5.200000,4.000000,0.000000,2.845167
0.020000,20.237325,4.040299,3.484800,5.280000,4.000000,0.000000,2.889219
0.020000,20.133689,4.064346,3.591200,5.360000,4.000000,-0.000000,2.938758
0.020000,20.027366,4.083228,3.699200,5.440000,4.000000,0.000000,2.993637
0.020000,19.922185,4.095845,3.808800,5.520000,4.000000,0.000000,3.050593
0.020000,19.811427,4.105740,3.920000,5.600000,4.000000,-0.000000,3.054443
0.020000,19.699034,4.115321,4.032800,5.680000,4.000000,0.000000,3.058734
0.020000,19.585005,4.124522,4.147200,5.760000,4.000000,0.000000,3.063485
0.020000,19.469336,4.133275,4.263200,5.840000,4.000000,0.000000,3.068715
0.020000,19.352024,4.141506,4.380800,5.920000,4.000000,0.000000,3.074443
0.020000,19.233069,4.149137,4.500000,6.000000,4.000000,0.000000,3.080689
0.020000,19.113268,4.156042,4.620000,6.000000,0.000000,-200.000000,3.087426
0.020000,18.993422,4.162112,4.740000,6.000000,0.000000,0.000000,3.094616
0.020000,18.873534,4.167294,4.860000,6.000000,0.000000,0.000000,3.102260
0.020000,18.753609,4.171531,4.980000,6.000000,0.000000,0.000000,3.110359
0.020000,18.633654,4.174770,5.100000,6.000000,0.000000,0.000000,3.118915
0.020000,18.513674,4.176955,5.220000,6.000000,0.000000,0.000000,3.127929
0.020000,18.393679,4.178031,5.340000,6.000000,0.000000,0.000000,3.137400
0.020000,18.273680,4.177943,5.460000,6.000000,0.000000,0.000000,3.147328
0.020000,18.153687,4.176636,5.580000,6.000000,0.000000,0.000000,3.157711
0.020000,18.033716,4.174057,5.700000,6.000000,0.000000,0.000000,3.168548
0.020000,17.913780,4.170150,5.820000,6.000000,0.000000,0.000000,3.179834
0.020000,17.793897,4.164863,5.940000,6.000000,0.000000,0.000000,3.191567
0.020000,17.674086,4.158144,6.060000,6.000000,0.000000,0.000000,3.203741
0.020000,17.554368,4.149940,6.180000,6.000000,0.000000,0.000000,3.216349
0.020000,17.434764,4.140202,6.300000,6.000000,0.000000,0.000000,3.229384
0.020000,17.315300,4.128881,6.420000,6.000000,0.000000,0.000000,3.242837
0.020000,17.196002,4.115930,6.540000,6.000000,0.000000,0.000000,3.256696
0.020000,17.076898,4.101303,6.660000,6.000000,0.000000,0.000000,3.270951
0.020000,16.958018,4.084956,6.780000,6.000000,0.000000,0.000000,3.285586
0.020000,16.839393,4.066850,6.900000,6.000000,0.000000,0.000000,3.300587
0.020000,16.721056,4.046946,7.020000,6.000000,0.000000,0.000000,3.315937
0.020000,16.603043,4.025208,7.140000,6.000000,0.000000,0.000000,3.331616
0.020000,16.485388,4.001604,7.260000,6.000000,0.000000,0.000000,3.347606
0.020000,16.368130,3.976105,7.380000,6.000000,0.000000,0.000000,3.363884
0.020000,16.266600,3.952519,7.500000,6.000000,0.000000,0.000000,3.372010
0.020000,16.149744,3.925230,7.620000,6.000000,0.000000,0.000000,3.370000
0.020000,16.032833,3.898177,7.740000,6.000000,0.000000,0.000000,3.367992
0.020000,15.915869,3.871357,7.860000,6.000000,0.000000,0.000000,3.365988
0.020000,15.798851,3.844772,7.980000,6.000000,0.000000,0.000000,3.363986
0.020000,15.681780,3.818422,8.100000,6.000000,0.000000,0.000000,3.361987
0.020000,15.564656,3.792305,8.220000,6.000000,0.000000,0.000000,3.359991
0.020000,15.447481,3.766422,8.340000,6.000000,0.000000,0.000000,3.357997
0.020000,15.330254,3.740772,8.460000,6.000000,0.000000,0.000000,3.356007
0.020000,15.212977,3.715356,8.580000,6.000000,0.000000,0.000000,3.354019
0.020000,15.095649,3.690172,8.700000,6.000000,0.000000,0.000000,3.352035
0.020000,14.978272,3.665221,8.820000,6.000000,0.000000,0.000000,3.350053
0.020000,14.860845,3.640503,8.940000,6.000000,0.000000,0.000000,3.348075
0.020000,14.743370,3.616017,9.060000,6.000000,0.000000,0.000000,3.346099
0.020000,14.625847,3.591763,9.180000,6.000000,0.000000,0.000000,3.344126
0.020000,14.508276,3.567741,9.300000,6.000000,0.000000,0.000000,3.342157
0.020000,14.390658,3.543950,9.420000,6.000000,0.000000,0.000000,3.340191
0.020000,14.272993,3.520390,9.540000,6.000000,0.000000,0.000000,3.338227
0.020000,14.155283,3.497061,9.660000,6.000000,0.000000,0.000000,3.336267
0.020000,14.037527,3.473962,9.780000,6.000000,0.000000,0.000000,3.334311
0.020000,13.919726,3.451094,9.900000,6.000000,0.000000,0.000000,3.332357
0.020000,13.801881,3.428456,10.020000,6.000000,0.000000,0.000000,3.330407
0.020000,13.683992,3.406047,10.140000,6.000000,0.000000,0.000000,3.328460
0.020000,13.566059,3.383868,10.260000,6.000000,0.000000,0.000000,3.326516
0.020000,13.448084,3.361918,10.380000,6.000000,0.000000,0.000000,3.324576
0.020000,13.330066,3.340197,10.500000,6.000000,0.000000,0.000000,3.322639
0.020000,13.212006,3.318704,10.620000,6.000000,0.000000,0.000000,3.320706
0.020000,13.093906,3.297439,10.740000,6.000000,0.000000,0.000000,3.318775
0.020000,12.975764,3.276402,10.860000,6.000000,0.000000,0.000000,3.316849
0.020000,12.857582,3.255592,10.980000,6.000000,0.000000,0.000000,3.314926
0.020000,12.739361,3.235010,11.100000,6.000000,0.000000,0.000000,3.313006
0.020000,12.621100,3.214654,11.220000,6.000000,0.000000,0.000000,3.311090
0.020000,12.502800,3.194525,11.340000,6.000000,0.000000,0.000000,3.309178
0.020000,12.384462,3.174622,11.460000,6.000000,0.000000,0.000000,3.307269
0.020000,12.266086,3.154944,11.580000,6.000000,0.000000,0.000000,3.305363
0.020000,12.147674,3.135492,11.700000,6.000000,0.000000,0.000000,3.303462
0.020000,12.029224,3.116265,11.820000,6.000000,0.000000,0.000000,3.301564
0.020000,11.910738,3.097262,11.940000,6.000000,0.000000,0.000000,3.299669
0.020000,11.792216,3.078484,12.060000,6.000000,0.000000,0.000000,3.297779
0.020000,11.673660,3.059930,12.180000,6.000000,0.000000,0.000000,3.295892
0.020000,11.555068,3.041599,12.300000,6.000000,0.000000,0.000000,3.294009
0.020000,11.436442,3.023491,12.420000,6.000000,0.000000,0.000000,3.292129
0.020000,11.317782,3.005606,12.540000,6.000000,0.000000,0.000000,3.290254
0.020000,11.199089,2.987944,12.660000,6.000000,0.000000,0.000000,3.288382
0.020000,11.080364,2.970503,12.780000,6.000000,0.000000,0.000000,3.286514
0.020000,10.961605,2.953284,12.900000,6.000000,0.000000,0.000000,3.284650
0.020000,10.842815,2.936286,13.020000,6.000000,0.000000,0.000000,3.282790
0.020000,10.723994,2.919509,13.140000,6.000000,0.000000,0.000000,3.280934
0.020000,10.605142,2.902952,13.260000,6.000000,0.000000,0.000000,3.279082
0.020000,10.486259,2.886615,13.380000,6.000000,0.000000,0.000000,3.277234
0.020000,10.367346,2.870498,13.500000,6.000000,0.000000,0.000000,3.275390
0.020000,10.248404,2.854599,13.620000,6.000000,0.000000,0.000000,3.273549
0.020000,10.129433,2.838920,13.740000,6.000000,0.000000,0.000000,3.271713
0.020000,10.010433,2.823458,13.860000,6.000000,0.000000,0.000000,3.269881
0.020000,9.891405,2.808215,13.980000,6.000000,0.000000,0.000000,3.268053
0.020000,9.772350,2.793189,14.100000,6.000000,0.000000,0.000000,3.266229
0.020000,9.653267,2.778379,14.220000,6.000000,0.000000,0.000000,3.264409
0.020000,9.534158,2.763787,14.340000,6.000000,0.000000,0.000000,3.262593
0.020000,9.415022,2.749410,14.460000,6.000000,0.000000,0.000000,3.260781
0.020000,9.295861,2.735249,14.580000,6.000000,0.000000,0.000000,3.258974
0.020000,9.176674,2.721303,14.700000,6.000000,0.000000,0.000000,3.257170
0.020000,9.057462,2.707572,14.820000,6.000000,0.000000,0.000000,3.255371
0.020000,8.938226,2.694055,14.940000,6.000000,0.000000,0.000000,3.253576
0.020000,8.818965,2.680752,15.060000,6.000000,0.000000,0.000000,3.251786
0.020000,8.699681,2.667662,15.180000,6.000000,0.000000,0.000000,3.249999
0.020000,8.580374,2.654785,15.300000,6.000000,0.000000,0.000000,3.248217
0.020000,8.461045,2.642120,15.420000,6.000000,0.000000,0.000000,3.246439
0.020000,8.341692,2.629668,15.540000,6.000000,0.000000,0.000000,3.244665
0.020000,8.222318,2.617427,15.660000,6.000000,0.000000,0.000000,3.242896
0.020000,8.102923,2.605396,15.780000,6.000000,0.000000,0.000000,3.241131
0.020000,7.983507,2.593577,15.900000,6.000000,0.000000,0.000000,3.239371
0.020000,7.864070,2.581967,16.020000,6.000000,0.000000,0.000000,3.237614
0.020000,7.744612,2.570567,16.140000,6.000000,0.000000,0.000000,3.235862
0.020000,7.625135,2.559375,16.260000,6.000000,0.000000,0.000000,3.234115
0.020000,7.505639,2.548393,16.380000,6.000000,0.000000,0.000000,3.232372
0.020000,7.386124,2.537618,16.500000,6.000000,0.000000,0.000000,3.230633
0.020000,7.266590,2.527051,16.620000,6.000000,0.000000,0.000000,3.228899
0.020000,7.147038,2.516691,16.740000,6.000000,0.000000,0.000000,3.227169
0.020000,7.027468,2.506538,16.860000,6.000000,0.000000,0.000000,3.225444
0.020000,6.907881,2.496590,16.980000,6.000000,0.000000,0.000000,3.223723
0.020000,6.788277,2.486848,17.100000,6.000000,0.000000,0.000000,3.222007
0.020000,6.668657,2.477312,17.220000,6.000000,0.000000,0.000000,3.220295
0.020000,6.549020,2.467979,17.340000,6.000000,0.000000,0.000000,3.218588
0.020000,6.429368,2.458851,17.460000,6.000000,0.000000,0.000000,3.216885
0.020000,6.309700,2.449926,17.580000,6.000000,0.000000,0.000000,3.215187
0.020000,6.190018,2.441204,17.700000,6.000000,0.000000,0.000000,3.213493
0.020000,6.070321,2.432685,17.820000,6.000000,0.000000,0.000000,3.211804
0.020000,5.950609,2.424367,17.940000,6.000000,0.000000,0.000000,3.210119
0.020000,5.830884,2.416251,18.060000,6.000000,0.000000,0.000000,3.208439
0.020000,5.711145,2.408336,18.180000,6.000000,0.000000,0.000000,3.206764
0.020000,5.591394,2.400621,18.300000,6.000000,0.000000,0.000000,3.205093
0.020000,5.471629,2.393106,18.420000,6.000000,0.000000,0.000000,3.203427
0.020000,5.351853,2.385790,18.540000,6.000000,0.000000,0.000000,3.201765
0.020000,5.232167,2.378679,18.659897,5.989700,-0.514986,-25.749316,3.200110
0.020000,5.113371,2.371817,18.778891,5.909700,-4.000000,-174.250684,3.198472
0.020000,4.996161,2.365238,18.896285,5.829700,-4.000000,0.000000,3.196860
0.020000,4.880539,2.358933,19.012079,5.749700,-4.000000,0.000000,3.195274
0.020000,4.766505,2.352895,19.126273,5.669700,-4.000000,0.000000,3.193715
