dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,23.062299,4.192299,0.000800,0.080000,4.000000,200.000000,3.591280
0.020000,23.063273,4.192768,0.001882,0.054099,-1.295041,-264.752046,3.590198
0.020000,23.062620,4.192455,0.002607,0.036227,-0.893612,20.071465,3.588392
0.020000,23.059856,4.191136,0.005670,0.153149,5.846115,336.986341,3.585855
0.020000,23.056311,4.189455,0.009593,0.196161,2.150596,-184.775973,3.582578
0.020000,23.051991,4.187427,0.014365,0.238592,2.121536,-1.452988,3.578550
0.020000,23.046905,4.185066,0.019972,0.280352,2.088028,-1.675421,3.573757
0.020000,23.041064,4.182392,0.026397,0.321251,2.044909,-2.155920,3.568183
0.020000,23.034477,4.179423,0.033622,0.361254,2.000165,-2.237217,3.561808
0.020000,23.027157,4.176184,0.041626,0.400198,1.947225,-2.646976,3.554611
0.020000,23.019122,4.172701,0.050384,0.437899,1.885041,-3.109225,3.546570
0.020000,23.010385,4.169002,0.059871,0.474362,1.823158,-3.094155,3.537657
0.020000,23.000967,4.165117,0.070059,0.509403,1.752038,-3.555980,3.527844
0.020000,22.990887,4.161080,0.080918,0.542930,1.676332,-3.785328,3.517103
0.020000,22.980166,4.156926,0.092415,0.574880,1.597526,-3.940296,3.505401
0.020000,22.968827,4.152690,0.104519,0.605199,1.515929,-4.079833,3.492705
0.020000,22.956894,4.148412,0.117196,0.633827,1.431415,-4.225704,3.478982
0.020000,22.944393,4.144129,0.130411,0.660755,1.346367,-4.252378,3.464197
0.020000,22.931345,4.139882,0.144132,0.686070,1.265761,-4.030302,3.448319
0.020000,22.917776,4.135710,0.158328,0.709807,1.186873,-3.944427,3.431315
0.020000,22.903707,4.131654,0.172970,0.732107,1.114978,-3.594726,3.413157
0.020000,22.889156,4.127752,0.188035,0.753235,1.056431,-2.927373,3.393822
0.020000,22.874138,4.124045,0.203504,0.773457,1.011087,-2.267171,3.373292
0.020000,22.858659,4.120569,0.219368,0.793206,0.987438,-1.182455,3.351556
0.020000,22.842719,4.117362,0.235628,0.812976,0.988499,0.053035,3.328616
0.020000,22.826305,4.114460,0.252296,0.833408,1.021594,1.654741,3.304485
0.020000,22.809393,4.111899,0.269401,0.855247,1.091948,3.517694,3.279190
0.020000,22.791942,4.109717,0.286988,0.879363,1.205791,5.692151,3.252778
0.020000,22.773893,4.107952,0.305123,0.906737,1.368716,8.146253,3.225313
0.020000,22.755170,4.106649,0.323891,0.938423,1.584332,10.780794,3.196883
0.020000,22.735675,4.105856,0.343403,0.975561,1.856852,13.626013,3.167595
0.020000,22.715291,4.105634,0.363788,1.019263,2.185147,16.414730,3.137581
0.020000,22.693882,4.106049,0.385201,1.070644,2.569007,19.193037,3.106994
0.020000,22.671296,4.107184,0.407815,1.130707,3.003159,21.707594,3.076009
0.020000,22.647370,4.109134,0.431821,1.200298,3.479582,23.821126,3.044816
0.020000,22.621930,4.112010,0.457423,1.280086,3.989360,25.488919,3.013619
0.020000,22.594803,4.115934,0.484832,1.370484,4.519924,26.528207,2.982630
0.020000,22.565817,4.121044,0.514265,1.471646,5.058094,26.908482,2.952064
0.020000,22.534809,4.127482,0.545935,1.583467,5.591031,26.646884,2.922135
0.020000,22.501629,4.135401,0.580046,1.705590,6.106173,25.757076,2.893048
0.020000,22.466142,4.144949,0.616796,1.837456,6.593302,24.356448,2.864998
0.020000,22.428230,4.156274,0.656362,1.978347,7.044567,22.563264,2.838166
0.020000,22.387794,4.169514,0.698911,2.127446,7.454933,20.518286,2.812716
0.020000,22.344747,4.184795,0.744589,2.283906,7.822971,18.401882,2.788796
0.020000,22.299019,4.202226,0.793527,2.446891,8.149272,16.315059,2.766534
0.020000,22.250547,4.221900,0.845840,2.615653,8.438094,14.441091,2.746048
0.020000,22.199272,4.243888,0.901631,2.789541,8.694433,12.816964,2.727440
0.020000,22.145136,4.268241,0.960993,2.968065,8.926178,11.587235,2.710802
0.020000,22.088075,4.294988,1.024011,3.150904,9.141956,10.788930,2.696221
0.020000,22.028016,4.324135,1.090769,3.337901,9.349866,10.395508,2.683779
0.020000,21.964870,4.355670,1.161351,3.529112,9.560547,10.534015,2.673562
0.020000,21.898527,4.389555,1.235846,3.724780,9.783399,11.142626,2.665657
0.020000,21.828852,4.425732,1.314353,3.925342,10.028073,12.233707,2.660164
0.020000,21.755681,4.464118,1.396982,4.131438,10.304814,13.837059,2.657193
0.020000,21.678814,4.504605,1.483860,4.343903,10.623242,15.921376,2.656871
0.020000,21.598010,4.547054,1.575135,4.563768,10.993264,18.501087,2.659346
0.020000,21.512986,4.591293,1.670980,4.792245,11.423826,21.528101,2.664791
0.020000,21.423406,4.637105,1.771595,5.030712,11.923358,24.976630,2.673406
0.020000,21.328885,4.684221,1.877208,5.280675,12.498157,28.739911,2.685420
0.020000,21.228981,4.732306,1.988082,5.543693,13.150890,32.636695,2.701095
0.020000,21.123200,4.780941,2.104507,5.821275,13.879107,36.410831,2.720722
0.020000,21.011003,4.829597,2.226801,6.114657,14.669113,39.500310,2.744619
0.020000,20.891822,4.877616,2.355292,6.424554,15.494818,41.285226,2.773114
0.020000,20.765089,4.924172,2.490305,6.750684,16.306499,40.584070,2.806534
0.020000,20.630288,4.968250,2.632129,7.091200,17.025843,35.967199,2.845167
0.020000,20.487028,5.008622,2.780970,7.442031,17.541537,25.784688,2.889219
0.020000,20.335136,5.043846,2.936892,7.796120,17.704428,8.144561,2.938758
0.020000,20.174782,5.072303,3.099751,8.142951,17.341574,-18.142689,2.993637
0.020000,20.013059,5.091707,3.262634,8.144148,0.059839,-864.086770,3.050593
0.020000,19.898466,5.101945,3.377684,5.752477,-119.583552,-5982.169561,3.054443
0.020000,19.781798,5.111890,3.494775,5.854558,5.104039,6234.379542,3.058734
0.020000,19.663033,5.121473,3.613926,5.957557,5.149975,2.296843,3.063485
0.020000,19.542149,5.130620,3.735156,6.061497,5.197003,2.351399,3.068715
0.020000,19.419123,5.139252,3.858484,6.166399,5.245090,2.404337,3.074443
0.020000,19.293935,5.147283,3.983930,6.272279,5.293991,2.445019,3.080689
0.020000,19.167408,5.154575,4.110666,6.336833,3.227715,-103.313771,3.087426
0.020000,19.040382,5.161009,4.237856,6.359462,1.131459,-104.812824,3.094616
0.020000,18.912857,5.166520,4.365499,6.382176,1.135698,0.211953,3.102260
0.020000,18.784838,5.171044,4.493598,6.404960,1.139201,0.175162,3.110359
0.020000,18.656329,5.174513,4.622154,6.427796,1.141776,0.128741,3.118915
0.020000,18.527337,5.176862,4.751168,6.450660,1.143217,0.072040,3.127929
0.020000,18.397872,5.178022,4.880638,6.473526,1.143306,0.004451,3.137400
0.020000,18.267945,5.177927,5.010565,6.496363,1.141814,-0.074576,3.147328
0.020000,18.137570,5.176506,5.140948,6.519133,1.138504,-0.165505,3.157711
0.020000,18.006764,5.173693,5.271784,6.541795,1.133130,-0.268695,3.168548
0.020000,17.875547,5.169419,5.403070,6.564304,1.125443,-0.384372,3.179834
0.020000,17.743943,5.163615,5.534802,6.586608,1.115184,-0.512939,3.191567
0.020000,17.611978,5.156213,5.666975,6.608650,1.102114,-0.653508,3.203741
0.020000,17.479680,5.147147,5.799583,6.630370,1.085996,-0.805902,3.216349
0.020000,17.347085,5.136351,5.932617,6.651702,1.066597,-0.969915,3.229384
0.020000,17.214229,5.123760,6.066068,6.672576,1.043709,-1.144414,3.242837
0.020000,17.081153,5.109313,6.199926,6.692919,1.017146,-1.328178,3.256696
0.020000,16.947901,5.092947,6.334180,6.712654,0.986753,-1.519651,3.270951
0.020000,16.814522,5.074607,6.468814,6.731702,0.952414,-1.716937,3.285586
0.020000,16.681068,5.054237,6.603813,6.749984,0.914058,-1.917790,3.300587
0.020000,16.547594,5.031787,6.739162,6.767417,0.871665,-2.119626,3.315937
0.020000,16.414161,5.007208,6.874840,6.783922,0.825275,-2.319546,3.331616
0.020000,16.280829,4.980458,7.010828,6.799422,0.774987,-2.514389,3.347606
0.020000,16.147665,4.951499,7.147105,6.813834,0.720604,-2.719113,3.363884
0.020000,16.038217,4.926090,7.259464,5.617952,-59.794116,-3025.736025,3.372010
0.020000,15.923318,4.899259,7.377454,5.899499,14.077333,3693.572442,3.370000
0.020000,15.808363,4.872657,7.495447,5.899635,0.006819,-703.525713,3.367992
