dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.192274,3.219725,0.000800,0.080000,4.000000,200.000000,6.282097
0.020000,2.192086,3.219725,0.000988,0.009381,-3.530940,-376.547005,6.282284
0.020000,2.191773,3.219725,0.001300,0.015625,0.312188,192.156383,6.282597
0.020000,2.191336,3.219726,0.001737,0.021853,0.311409,-0.038939,6.283034
0.020000,2.196034,3.219727,0.006435,0.234886,10.651632,517.011142,0.000410
0.020000,2.204149,3.219733,0.014550,0.405763,8.543867,-105.388221,0.001095
0.020000,2.213742,3.219747,0.024143,0.479618,3.692745,-242.556118,0.001902
0.020000,2.224812,3.219773,0.035213,0.553516,3.694886,0.107068,0.002832
0.020000,2.237361,3.219815,0.047762,0.627460,3.697221,0.116745,0.003883
0.020000,2.251390,3.219878,0.061791,0.701458,3.699884,0.133138,0.005053
0.020000,2.266900,3.219967,0.077302,0.775515,3.702883,0.149954,0.006343
0.020000,2.283893,3.220086,0.094294,0.849640,3.706227,0.167228,0.007750
0.020000,2.302369,3.220244,0.112771,0.923836,3.709809,0.179053,0.009274
0.020000,2.322330,3.220445,0.132733,0.998111,3.713763,0.197719,0.010911
0.020000,2.343778,3.220698,0.154183,1.072474,3.718142,0.218959,0.012662
0.020000,2.366714,3.221010,0.177121,1.146928,3.722710,0.228386,0.014523
0.020000,2.391141,3.221389,0.201551,1.221480,3.727559,0.242477,0.016494
0.020000,2.417060,3.221843,0.227474,1.296139,3.732961,0.270076,0.018571
0.020000,2.444473,3.222382,0.254892,1.370910,3.738541,0.279029,0.020753
0.020000,2.473382,3.223015,0.283808,1.445799,3.744486,0.297234,0.023037
0.020000,2.503789,3.223752,0.314224,1.520816,3.750809,0.316131,0.025420
0.020000,2.535697,3.224603,0.346143,1.595959,3.757176,0.318361,0.027901
0.020000,2.569108,3.225579,0.379568,1.671246,3.764353,0.358845,0.030476
0.020000,2.604023,3.226690,0.414502,1.746678,3.771585,0.361584,0.033143
0.020000,2.640447,3.227948,0.450947,1.822263,3.779232,0.382373,0.035897
0.020000,2.678381,3.229364,0.488907,1.898001,3.786913,0.384051,0.038737
0.020000,2.717827,3.230951,0.528385,1.973910,3.795460,0.427333,0.041659
0.020000,2.758789,3.232720,0.569385,2.049990,3.803999,0.426960,0.044659
0.020000,2.801268,3.234684,0.611910,2.126248,3.812919,0.445999,0.047734
0.020000,2.845268,3.236855,0.655964,2.202693,3.822232,0.465667,0.050881
0.020000,2.890792,3.239247,0.701550,2.279327,3.831708,0.473806,0.054094
0.020000,2.937842,3.241872,0.748674,2.356155,3.841415,0.485324,0.057371
0.020000,2.986421,3.244744,0.797338,2.433200,3.852227,0.540587,0.060707
0.020000,3.036532,3.247875,0.847546,2.510438,3.861923,0.484833,0.064098
0.020000,3.088178,3.251279,0.899304,2.587905,3.873352,0.571456,0.067540
0.020000,3.141362,3.254970,0.952616,2.665593,3.884395,0.552133,0.071028
0.020000,3.196087,3.258961,1.007486,2.743507,3.895687,0.564622,0.074558
0.020000,3.252356,3.263266,1.063920,2.821654,3.907343,0.582802,0.078125
0.020000,3.310171,3.267897,1.121920,2.900041,3.919369,0.601298,0.081724
0.020000,3.369537,3.272868,1.181494,2.978677,3.931769,0.619976,0.085350
0.020000,3.430456,3.278192,1.242645,3.057564,3.944372,0.630142,0.088999
0.020000,3.492931,3.283883,1.305379,3.136694,3.956465,0.604645,0.092665
0.020000,3.556966,3.289953,1.369701,3.216103,3.970466,0.700053,0.096343
0.020000,3.622564,3.296415,1.435616,3.295763,3.983030,0.628234,0.100028
0.020000,3.689728,3.303281,1.503130,3.375697,3.996689,0.682906,0.103714
0.020000,3.758462,3.310564,1.572249,3.455910,4.010629,0.697039,0.107395
0.020000,3.828768,3.318275,1.642977,3.536400,4.024498,0.693426,0.111067
0.020000,3.900651,3.326426,1.715320,3.617173,4.038678,0.709033,0.114724
0.020000,3.974114,3.335027,1.789285,3.698237,4.053168,0.724460,0.118359
0.020000,4.049160,3.344089,1.864876,3.779583,4.067294,0.706305,0.121967
0.020000,4.125794,3.353622,1.942101,3.861230,4.082354,0.753027,0.125543
0.020000,4.204019,3.363636,2.020965,3.943180,4.097513,0.757928,0.129079
0.020000,4.283840,3.374139,2.101473,4.025426,4.112311,0.739912,0.132571
0.020000,4.365260,3.385140,2.183633,4.107977,4.127559,0.762382,0.136011
0.020000,4.448283,3.396646,2.267450,4.190844,4.143359,0.789997,0.139394
0.020000,4.532914,3.408665,2.352930,4.274022,4.158859,0.775035,0.142713
0.020000,4.619158,3.421201,2.440080,4.357514,4.174631,0.788586,0.145963
0.020000,4.707019,3.434261,2.528907,4.441328,4.190667,0.801817,0.149137
0.020000,4.796503,3.447849,2.619416,4.525467,4.206960,0.814602,0.152227
0.020000,4.887614,3.461968,2.711615,4.609923,4.222803,0.792184,0.155229
