dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.191185,2.219726,0.000800,0.080000,4.000000,200.000000,6.282097
0.020000,2.191185,2.219726,0.003200,0.160000,4.000000,0.000000,6.282284
0.020000,2.191185,2.219726,0.007200,0.240000,4.000000,-0.000000,6.282597
0.020000,2.191185,2.219726,0.012800,0.320000,4.000000,0.000000,6.283034
0.020000,2.196444,2.219727,0.020000,0.400000,4.000000,0.000000,0.000410
0.020000,2.205244,2.219733,0.028800,0.480000,4.000000,-0.000000,0.001095
0.020000,2.215644,2.219749,0.039200,0.560000,4.000000,0.000000,0.001902
0.020000,2.227644,2.219777,0.051200,0.640000,4.000000,-0.000000,0.002832
0.020000,2.241244,2.219823,0.064800,0.720000,4.000000,0.000000,0.003883
0.020000,2.256444,2.219891,0.080000,0.800000,4.000000,0.000000,0.005053
0.020000,2.273243,2.219987,0.096800,0.880000,4.000000,-0.000000,0.006343
0.020000,2.291643,2.220116,0.115200,0.960000,4.000000,0.000000,0.007750
0.020000,2.311642,2.220287,0.135200,1.040000,4.000000,0.000000,0.009274
0.020000,2.333241,2.220505,0.156800,1.120000,4.000000,0.000000,0.010911
0.020000,2.356439,2.220778,0.180000,1.200000,4.000000,0.000000,0.012662
0.020000,2.381237,2.221115,0.204800,1.280000,4.000000,-0.000000,0.014523
0.020000,2.407634,2.221525,0.231200,1.360000,4.000000,0.000000,0.016494
0.020000,2.435630,2.222016,0.259200,1.440000,4.000000,0.000000,0.018571
0.020000,2.465224,2.222598,0.288800,1.520000,4.000000,0.000000,0.020753
0.020000,2.496416,2.223281,0.320000,1.600000,4.000000,0.000000,0.023037
0.020000,2.529207,2.224075,0.352800,1.680000,4.000000,0.000000,0.025420
0.020000,2.563595,2.224992,0.387200,1.760000,4.000000,-0.000000,0.027901
0.020000,2.599579,2.226043,0.423200,1.840000,4.000000,0.000000,0.030476
0.020000,2.637160,2.227239,0.460800,1.920000,4.000000,0.000000,0.033143
0.020000,2.676337,2.228592,0.500000,2.000000,4.000000,0.000000,0.035897
0.020000,2.717108,2.230114,0.540800,2.080000,4.000000,0.000000,0.038737
0.020000,2.759474,2.231818,0.583200,2.160000,4.000000,0.000000,0.041659
0.020000,2.803433,2.233717,0.627200,2.240000,4.000000,0.000000,0.044659
0.020000,2.848984,2.235823,0.672800,2.320000,4.000000,-0.000000,0.047734
0.020000,2.896127,2.238149,0.720000,2.400000,4.000000,0.000000,0.050881
0.020000,2.944860,2.240710,0.768800,2.480000,4.000000,-0.000000,0.054094
0.020000,2.995181,2.243517,0.819200,2.560000,4.000000,0.000000,0.057371
0.020000,3.047091,2.246586,0.871200,2.640000,4.000000,0.000000,0.060707
0.020000,3.100586,2.249929,0.924800,2.720000,4.000000,-0.000000,0.064098
0.020000,3.155667,2.253559,0.980000,2.800000,4.000000,0.000000,0.067540
0.020000,3.212331,2.257492,1.036800,2.880000,4.000000,0.000000,0.071028
0.020000,3.270576,2.261739,1.095200,2.960000,4.000000,0.000000,0.074558
0.020000,3.330401,2.266316,1.155200,3.040000,4.000000,0.000000,0.078125
0.020000,3.391804,2.271234,1.216800,3.120000,4.000000,0.000000,0.081724
0.020000,3.454784,2.276508,1.280000,3.200000,4.000000,0.000000,0.085350
0.020000,3.519338,2.282150,1.344800,3.280000,4.000000,-0.000000,0.088999
0.020000,3.585464,2.288173,1.411200,3.360000,4.000000,0.000000,0.092665
0.020000,3.653160,2.294591,1.479200,3.440000,4.000000,-0.000000,0.096343
0.020000,3.722425,2.301414,1.548800,3.520000,4.000000,-0.000000,0.100028
0.020000,3.793256,2.308655,1.620000,3.600000,4.000000,0.000000,0.103714
0.020000,3.865651,2.316325,1.692800,3.680000,4.000000,0.000000,0.107395
0.020000,3.939607,2.324437,1.767200,3.760000,4.000000,0.000000,0.111067
0.020000,4.015123,2.332999,1.843200,3.840000,4.000000,-0.000000,0.114724
0.020000,4.092197,2.342023,1.920800,3.920000,4.000000,0.000000,0.118359
0.020000,4.170825,2.351518,2.000000,4.000000,4.000000,0.000000,0.121967
0.020000,4.251007,2.361492,2.080800,4.080000,4.000000,0.000000,0.125543
0.020000,4.332740,2.371955,2.163200,4.160000,4.000000,0.000000,0.129079
0.020000,4.416022,2.382914,2.247200,4.240000,4.000000,0.000000,0.132571
0.020000,4.500851,2.394375,2.332800,4.320000,4.000000,0.000000,0.136011
0.020000,4.587226,2.406346,2.420000,4.400000,4.000000,-0.000000,0.139394
0.020000,4.675144,2.418831,2.508800,4.480000,4.000000,0.000000,0.142713
0.020000,4.764604,2.431835,2.599200,4.560000,4.000000,-0.000000,0.145963
0.020000,4.855604,2.445361,2.691200,4.640000,4.000000,-0.000000,0.149137
0.020000,4.948143,2.459413,2.784800,4.720000,4.000000,0.000000,0.152227
0.020000,5.042220,2.473991,2.880000,4.800000,4.000000,0.000000,0.155229
0.020000,5.137834,2.489097,2.976800,4.880000,4.000000,-0.000000,0.158134
