dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.190096,1.219726,0.000800,0.080000,4.000000,200.000000,6.282097
0.020000,2.190284,1.219726,0.000988,0.009381,-3.530940,-376.547005,6.282284
0.020000,2.190597,1.219726,0.001300,0.015625,0.312188,192.156383,6.282597
0.020000,2.191034,1.219726,0.001737,0.021853,0.311409,-0.038939,6.283034
0.020000,2.196854,1.219727,0.007557,0.291005,13.457569,657.308002,0.000410
0.020000,2.206338,1.219734,0.017042,0.474238,9.161689,-214.793982,0.001095
0.020000,2.217546,1.219751,0.028250,0.560380,4.307094,-242.729745,0.001902
0.020000,2.230476,1.219781,0.041179,0.646484,4.305175,-0.095981,0.002832
0.020000,2.245126,1.219831,0.055830,0.732540,4.302794,-0.119049,0.003883
0.020000,2.261497,1.219904,0.072201,0.818542,4.300106,-0.134407,0.005053
0.020000,2.279586,1.220007,0.090291,0.904484,4.297117,-0.149427,0.006343
0.020000,2.299393,1.220146,0.110098,0.990361,4.293835,-0.164077,0.007750
0.020000,2.320916,1.220330,0.131621,1.076163,4.290131,-0.185244,0.009274
0.020000,2.344152,1.220564,0.154859,1.161886,4.286158,-0.198605,0.010911
0.020000,2.369101,1.220858,0.179809,1.247526,4.281975,-0.209151,0.012662
0.020000,2.395760,1.221221,0.206471,1.333072,4.277303,-0.233610,0.014523
0.020000,2.424127,1.221661,0.234841,1.418517,4.272248,-0.252777,0.016494
0.020000,2.454199,1.222188,0.264918,1.503859,4.267120,-0.256410,0.018571
0.020000,2.485975,1.222813,0.296700,1.589089,4.261483,-0.281834,0.020753
0.020000,2.519451,1.223546,0.330184,1.674200,4.255551,-0.296617,0.023037
0.020000,2.554625,1.224398,0.365368,1.759187,4.249337,-0.310693,0.025420
0.020000,2.591492,1.225382,0.402249,1.844036,4.242455,-0.344089,0.027901
0.020000,2.630051,1.226507,0.440824,1.928752,4.235789,-0.333290,0.030476
0.020000,2.670297,1.227788,0.481090,2.013321,4.228467,-0.366127,0.033143
0.020000,2.712227,1.229236,0.523045,2.097739,4.220905,-0.378053,0.035897
0.020000,2.755836,1.230864,0.566685,2.181992,4.212668,-0.411879,0.038737
0.020000,2.801121,1.232686,0.612006,2.266087,4.204713,-0.397722,0.041659
0.020000,2.848078,1.234714,0.659007,2.350008,4.196041,-0.433613,0.044659
0.020000,2.896701,1.236962,0.707682,2.433750,4.187102,-0.446934,0.047734
0.020000,2.946986,1.239443,0.758028,2.517308,4.177917,-0.459283,0.050881
0.020000,2.998927,1.242172,0.810041,2.600673,4.168227,-0.484477,0.054094
0.020000,3.052521,1.245163,0.863718,2.683835,4.158120,-0.505368,0.057371
0.020000,3.107760,1.248428,0.919054,2.766807,4.148598,-0.476083,0.060707
0.020000,3.164640,1.251982,0.976045,2.849550,4.137146,-0.572611,0.064098
0.020000,3.223155,1.255839,1.034687,2.932090,4.127012,-0.506709,0.067540
0.020000,3.283299,1.260013,1.094975,3.014406,4.115798,-0.560669,0.071028
0.020000,3.345065,1.264518,1.156905,3.096491,4.104243,-0.577765,0.074558
0.020000,3.408446,1.269366,1.220472,3.178341,4.092488,-0.587759,0.078125
0.020000,3.473437,1.274572,1.285671,3.259952,4.080553,-0.596727,0.081724
0.020000,3.540030,1.280148,1.352497,3.341321,4.068458,-0.604798,0.085350
0.020000,3.608219,1.286108,1.420946,3.422441,4.056024,-0.621673,0.088999
0.020000,3.677996,1.292464,1.491012,3.503291,4.042474,-0.677499,0.092665
0.020000,3.749354,1.299228,1.562690,3.583901,4.030525,-0.597445,0.096343
0.020000,3.822286,1.306412,1.635974,3.664230,4.016459,-0.703323,0.100028
0.020000,3.896784,1.314028,1.710860,3.744293,4.003116,-0.667153,0.103714
0.020000,3.972839,1.322087,1.787342,3.824085,3.989605,-0.675518,0.107395
0.020000,4.050446,1.330598,1.865414,3.903596,3.975552,-0.702675,0.111067
0.020000,4.129595,1.339573,1.945070,3.982824,3.961398,-0.707706,0.114724
0.020000,4.210280,1.349019,2.026306,4.061767,3.947153,-0.712243,0.118359
0.020000,4.292491,1.358946,2.109114,4.140409,3.932095,-0.752874,0.121967
0.020000,4.376220,1.369362,2.193489,4.218762,3.917663,-0.721638,0.125543
0.020000,4.461461,1.380274,2.279425,4.296821,3.902946,-0.735838,0.129079
0.020000,4.548205,1.391688,2.366917,4.374570,3.887460,-0.774305,0.132571
0.020000,4.636443,1.403611,2.455957,4.452012,3.872098,-0.768088,0.136011
0.020000,4.726169,1.416046,2.546540,4.529152,3.856975,-0.756144,0.139394
0.020000,4.817373,1.428997,2.638660,4.605975,3.841174,-0.790030,0.142713
0.020000,4.910049,1.442469,2.732309,4.682482,3.825319,-0.792788,0.145963
0.020000,5.004188,1.456462,2.827483,4.758670,3.809401,-0.795910,0.149137
0.020000,5.099783,1.470977,2.924173,4.834538,3.793408,-0.799648,0.152227
0.020000,5.196826,1.486015,3.022375,4.910069,3.776586,-0.841094,0.155229
0.020000,5.295310,1.501575,3.122080,4.985280,3.760523,-0.803112,0.158134
0.020000,5.395228,1.517653,3.223283,5.060155,3.743745,-0.838900,0.160938
0.020000,5.496572,1.534247,3.325977,5.134699,3.727190,-0.827762,0.163631
0.020000,5.599336,1.551351,3.430155,5.208886,3.709368,-0.891108,0.166209
0.020000,5.703513,1.568961,3.535810,5.282741,3.692769,-0.829966,0.168664
0.020000,5.809097,1.587067,3.642935,5.356246,3.675215,-0.877663,0.170989
0.020000,5.916081,1.605663,3.751523,5.429396,3.657522,-0.884681,0.173177
0.020000,6.024459,1.624737,3.861567,5.502189,3.639651,-0.893528,0.175221
0.020000,6.134225,1.644279,3.973059,5.574610,3.621061,-0.929501,0.177113
0.020000,6.245374,1.664274,4.085992,5.646672,3.603089,-0.898628,0.178846
0.020000,6.357901,1.684710,4.200359,5.718357,3.584224,-0.943222,0.180414
0.020000,6.471800,1.705568,4.316152,5.789659,3.565100,-0.956222,0.181807
0.020000,6.587066,1.726833,4.433364,5.860572,3.545647,-0.972624,0.183018
0.020000,6.703696,1.748483,4.551986,5.931092,3.526029,-0.980915,0.184040
0.020000,6.821684,1.770499,4.672010,6.001208,3.505804,-1.011240,0.184864
0.020000,6.940236,1.792708,4.792625,6.030744,1.476779,-101.451239,0.185479
0.020000,7.058566,1.814937,4.913024,6.019980,-0.538193,-100.748600,0.185879
0.020000,7.176677,1.837162,5.033209,6.009225,-0.537771,0.021091,0.186063
0.020000,7.294576,1.859355,5.153178,5.998473,-0.537576,0.009719,0.186032
0.020000,7.412267,1.881493,5.272933,5.987721,-0.537610,-0.001691,0.185787
0.020000,7.529754,1.903549,5.392472,5.976963,-0.537872,-0.013094,0.185326
0.020000,7.647041,1.925499,5.511796,5.966196,-0.538361,-0.024443,0.184650
0.020000,7.764134,1.947318,5.630904,5.955415,-0.539075,-0.035692,0.183758
0.020000,7.881036,1.968980,5.749797,5.944614,-0.540011,-0.046795,0.182651
0.020000,7.997752,1.990460,5.868472,5.933791,-0.541165,-0.057703,0.181326
0.020000,8.114285,2.011735,5.986931,5.922940,-0.542532,-0.068367,0.179785
0.020000,8.230638,2.032778,6.105172,5.912058,-0.544107,-0.078735,0.178026
0.020000,8.346816,2.053566,6.223195,5.901141,-0.545882,-0.088756,0.176049
0.020000,8.462821,2.074073,6.340999,5.890184,-0.547849,-0.098372,0.173853
0.020000,8.578656,2.094275,6.458583,5.879184,-0.550000,-0.107527,0.171437
0.020000,8.694324,2.114146,6.575945,5.868137,-0.552323,-0.116159,0.168799
0.020000,8.809828,2.133663,6.693086,5.857041,-0.554807,-0.124202,0.165940
0.020000,8.925169,2.152800,6.810004,5.845892,-0.557439,-0.131590,0.162858
0.020000,9.040349,2.171532,6.926698,5.834688,-0.560204,-0.138250,0.159552
0.020000,9.155371,2.189836,7.043166,5.823427,-0.563086,-0.144106,0.156020
0.020000,9.270234,2.207685,7.159408,5.812105,-0.566068,-0.149076,0.152263
0.020000,9.384941,2.225055,7.275423,5.800723,-0.569129,-0.153078,0.148277
0.020000,9.499492,2.241921,7.391208,5.789278,-0.572249,-0.156020,0.144063
0.020000,9.613886,2.258259,7.506764,5.777770,-0.575406,-0.157809,0.139618
0.020000,9.728125,2.274044,7.622088,5.766198,-0.578573,-0.158347,0.134942
0.020000,9.842207,2.289250,7.737179,5.754564,-0.581723,-0.157532,0.130034
0.020000,9.956132,2.303852,7.852036,5.742867,-0.584828,-0.155257,0.124891
0.020000,10.069900,2.317827,7.966658,5.731110,-0.587857,-0.151412,0.119514
0.020000,10.183507,2.331148,8.081044,5.719294,-0.590774,-0.145885,0.113900
0.020000,10.296953,2.343792,8.195193,5.707424,-0.593546,-0.138561,0.108048
0.020000,10.410235,2.355734,8.309103,5.695501,-0.596132,-0.129324,0.101959
0.020000,10.523352,2.366948,8.422774,5.683534,-0.598339,-0.110353,0.095629
0.020000,10.636299,2.377410,8.536204,5.671525,-0.600463,-0.106212,0.089060
0.020000,10.749073,2.387096,8.649394,5.659477,-0.602374,-0.095519,0.082250
0.020000,10.861671,2.395981,8.762342,5.647401,-0.603801,-0.071352,0.075198
0.020000,10.974089,2.404041,8.875048,5.635305,-0.604818,-0.050880,0.067904
0.020000,11.086321,2.411251,8.987512,5.623197,-0.605375,-0.027838,0.060369
0.020000,11.198364,2.417588,9.099733,5.611089,-0.605418,-0.002138,0.052591
0.020000,11.310211,2.423029,9.211713,5.598991,-0.604892,0.026292,0.044571
0.020000,11.421858,2.427549,9.323452,5.586916,-0.603742,0.057514,0.036310
0.020000,11.533299,2.431125,9.434949,5.574881,-0.601757,0.099219,0.027808
0.020000,11.644526,2.433735,9.546207,5.562894,-0.599382,0.118745,0.019066
0.020000,11.755533,2.435355,9.657227,5.550972,-0.596062,0.166003,0.010086
0.020000,11.866314,2.435964,9.768009,5.539135,-0.591859,0.210187,0.000869
0.020000,11.976862,2.435540,9.878557,5.527400,-0.586748,0.255540,6.274602
0.020000,12.087167,2.434062,9.988873,5.515787,-0.580676,0.303578,6.264919
0.020000,12.197224,2.431507,10.098959,5.504315,-0.573593,0.354176,6.255005
0.020000,12.307024,2.427858,10.208819,5.493004,-0.565559,0.401678,6.244866
0.020000,12.416558,2.423092,10.318457,5.481876,-0.556365,0.459723,6.234504
0.020000,12.525817,2.417192,10.427876,5.470958,-0.545940,0.521255,6.223924
0.020000,12.634623,2.410150,10.536909,5.451665,-0.964647,-20.935345,6.213147
0.020000,12.742243,2.402012,10.644837,5.396377,-2.764376,-89.986456,6.202254
0.020000,12.848126,2.392843,10.751116,5.313954,-4.121181,-67.840266,6.191312
0.020000,12.952275,2.382672,10.855760,5.232207,-4.087349,1.691623,6.180335
0.020000,13.054694,2.371533,10.958783,5.151130,-4.053819,1.676464,6.169337
0.020000,13.155386,2.359460,11.060196,5.070689,-4.022082,1.586853,6.158330
0.020000,13.254358,2.346486,11.160015,4.990939,-3.987494,1.729398,6.147328
