dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.039454,18.227583,0.000800,0.080000,4.000000,200.000000,0.000390
0.020000,3.039627,18.227583,0.000973,0.008666,-3.566713,-378.335658,0.000216
0.020000,3.040912,18.227583,0.002258,0.064256,2.779518,317.311552,6.283114
0.020000,3.046915,18.227581,0.008261,0.300113,11.792822,450.665187,6.282711
0.020000,3.054629,18.227576,0.015976,0.385746,4.281683,-375.556951,6.282196
0.020000,3.064055,18.227564,0.025402,0.471298,4.277576,-0.205331,6.281570
0.020000,3.075190,18.227541,0.036537,0.556747,4.272472,-0.255200,6.280835
0.020000,3.088032,18.227506,0.049378,0.642076,4.266425,-0.302372,6.279994
0.020000,3.102577,18.227453,0.063923,0.727264,4.259439,-0.349282,6.279049
0.020000,3.118823,18.227377,0.080169,0.812297,4.251651,-0.389389,6.278003
0.020000,3.136765,18.227274,0.098112,0.897152,4.242704,-0.447334,6.276860
0.020000,3.156401,18.227137,0.117749,0.981814,4.233124,-0.478996,6.275623
0.020000,3.177726,18.226962,0.139074,1.066264,4.222485,-0.531958,6.274298
0.020000,3.200734,18.226741,0.162083,1.150482,4.210897,-0.579433,6.272888
0.020000,3.225422,18.226468,0.186773,1.234453,4.198559,-0.616882,6.271399
0.020000,3.251783,18.226137,0.213136,1.318155,4.185101,-0.672925,6.269836
0.020000,3.279812,18.225740,0.241167,1.401572,4.170873,-0.711373,6.268205
0.020000,3.309502,18.225270,0.270861,1.484690,4.155864,-0.750440,6.266511
0.020000,3.340847,18.224720,0.302211,1.567485,4.139787,-0.803847,6.264761
0.020000,3.373839,18.224082,0.335209,1.649944,4.122947,-0.841998,6.262962
0.020000,3.408472,18.223349,0.369850,1.732048,4.105207,-0.887036,6.261122
0.020000,3.444738,18.222515,0.406126,1.813779,4.086513,-0.934660,6.259246
0.020000,3.482629,18.221571,0.444028,1.895122,4.067148,-0.968292,6.257344
0.020000,3.522136,18.220512,0.483550,1.976056,4.046736,-1.020555,6.255422
0.020000,3.563250,18.219330,0.524681,2.056568,4.025595,-1.057093,6.253491
0.020000,3.605963,18.218020,0.567414,2.136642,4.003692,-1.095131,6.251558
0.020000,3.650265,18.216575,0.611739,2.216256,3.980709,-1.149131,6.249633
0.020000,3.696145,18.214991,0.657647,2.295399,3.957159,-1.177514,6.247725
0.020000,3.743595,18.213263,0.705128,2.374052,3.932607,-1.227613,6.245844
0.020000,3.792603,18.211386,0.754172,2.452200,3.907405,-1.260114,6.244000
0.020000,3.843159,18.209358,0.804768,2.529824,3.881223,-1.309064,6.242203
0.020000,3.895251,18.207177,0.856907,2.606911,3.854364,-1.342946,6.240465
0.020000,3.948869,18.204839,0.910575,2.683444,3.826613,-1.387552,6.238796
0.020000,4.004001,18.202346,0.965764,2.759404,3.798024,-1.429478,6.237208
0.020000,4.060635,18.199697,1.022459,2.834778,3.768708,-1.465795,6.235713
0.020000,4.118758,18.196895,1.080650,2.909549,3.738512,-1.509797,6.234322
0.020000,4.178359,18.193941,1.140324,2.983698,3.707490,-1.551087,6.233048
0.020000,4.239425,18.190841,1.201468,3.057209,3.675546,-1.597219,6.231904
0.020000,4.301942,18.187600,1.264070,3.130067,3.642872,-1.633684,6.230902
0.020000,4.365898,18.184225,1.328115,3.202251,3.609231,-1.682080,6.230057
0.020000,4.431279,18.180725,1.393590,3.273745,3.574703,-1.726401,6.229382
0.020000,4.498072,18.177110,1.460480,3.344530,3.539217,-1.774299,6.228892
0.020000,4.566263,18.173393,1.528772,3.414586,3.502825,-1.819569,6.228600
0.020000,4.635837,18.169588,1.598450,3.483894,3.465408,-1.870875,6.228522
0.020000,4.706779,18.165710,1.669498,3.552434,3.426968,-1.921975,6.228673
0.020000,4.779076,18.161778,1.741902,3.620183,3.387468,-1.974992,6.229070
0.020000,4.852712,18.157812,1.815644,3.687120,3.346864,-2.030241,6.229727
