dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.039844,17.227583,0.000800,0.080000,4.000000,200.000000,0.000390
0.020000,3.039844,17.227583,0.003200,0.160000,4.000000,0.000000,0.000216
0.020000,3.040840,17.227583,0.007200,0.240000,4.000000,-0.000000,6.283114
0.020000,3.046440,17.227582,0.012800,0.320000,4.000000,0.000000,6.282711
0.020000,3.053640,17.227576,0.020000,0.400000,4.000000,0.000000,6.282196
0.020000,3.062440,17.227565,0.028800,0.480000,4.000000,-0.000000,6.281570
0.020000,3.072840,17.227544,0.039200,0.560000,4.000000,0.000000,6.280835
0.020000,3.084840,17.227511,0.051200,0.640000,4.000000,-0.000000,6.279994
0.020000,3.098440,17.227461,0.064800,0.720000,4.000000,0.000000,6.279049
0.020000,3.113640,17.227390,0.080000,0.800000,4.000000,0.000000,6.278003
0.020000,3.130440,17.227294,0.096800,0.880000,4.000000,-0.000000,6.276860
0.020000,3.148839,17.227166,0.115200,0.960000,4.000000,0.000000,6.275623
0.020000,3.168839,17.227001,0.135200,1.040000,4.000000,0.000000,6.274298
0.020000,3.190438,17.226794,0.156800,1.120000,4.000000,0.000000,6.272888
0.020000,3.213636,17.226538,0.180000,1.200000,4.000000,0.000000,6.271399
0.020000,3.238434,17.226226,0.204800,1.280000,4.000000,-0.000000,6.269836
0.020000,3.264832,17.225852,0.231200,1.360000,4.000000,0.000000,6.268205
0.020000,3.292828,17.225409,0.259200,1.440000,4.000000,0.000000,6.266511
0.020000,3.322424,17.224889,0.288800,1.520000,4.000000,0.000000,6.264761
0.020000,3.353618,17.224286,0.320000,1.600000,4.000000,0.000000,6.262962
0.020000,3.386410,17.223593,0.352800,1.680000,4.000000,0.000000,6.261122
0.020000,3.420801,17.222801,0.387200,1.760000,4.000000,-0.000000,6.259246
0.020000,3.456790,17.221905,0.423200,1.840000,4.000000,0.000000,6.257344
0.020000,3.494377,17.220897,0.460800,1.920000,4.000000,0.000000,6.255422
0.020000,3.533560,17.219771,0.500000,2.000000,4.000000,0.000000,6.253491
0.020000,3.574341,17.218520,0.540800,2.080000,4.000000,0.000000,6.251558
0.020000,3.616719,17.217138,0.583200,2.160000,4.000000,0.000000,6.249633
0.020000,3.660693,17.215620,0.627200,2.240000,4.000000,0.000000,6.247725
0.020000,3.706262,17.213960,0.672800,2.320000,4.000000,-0.000000,6.245844
0.020000,3.753428,17.212154,0.720000,2.400000,4.000000,0.000000,6.244000
0.020000,3.802189,17.210198,0.768800,2.480000,4.000000,-0.000000,6.242203
0.020000,3.852544,17.208089,0.819200,2.560000,4.000000,0.000000,6.240465
0.020000,3.904495,17.205824,0.871200,2.640000,4.000000,0.000000,6.238796
0.020000,3.958040,17.203403,0.924800,2.720000,4.000000,-0.000000,6.237208
0.020000,4.013180,17.200824,0.980000,2.800000,4.000000,0.000000,6.235713
0.020000,4.069914,17.198088,1.036800,2.880000,4.000000,0.000000,6.234322
0.020000,4.128243,17.195198,1.095200,2.960000,4.000000,0.000000,6.233048
0.020000,4.188165,17.192156,1.155200,3.040000,4.000000,0.000000,6.231904
0.020000,4.249683,17.188966,1.216800,3.120000,4.000000,0.000000,6.230902
0.020000,4.312795,17.185636,1.280000,3.200000,4.000000,0.000000,6.230057
0.020000,4.377502,17.182172,1.344800,3.280000,4.000000,-0.000000,6.229382
0.020000,4.443805,17.178584,1.411200,3.360000,4.000000,0.000000,6.228892
0.020000,4.511704,17.174883,1.479200,3.440000,4.000000,-0.000000,6.228600
0.020000,4.581201,17.171081,1.548800,3.520000,4.000000,-0.000000,6.228522
0.020000,4.652294,17.167195,1.620000,3.600000,4.000000,0.000000,6.228673
0.020000,4.724987,17.163242,1.692800,3.680000,4.000000,0.000000,6.229070
0.020000,4.799279,17.159240,1.767200,3.760000,4.000000,0.000000,6.229727
0.020000,4.875173,17.155213,1.843200,3.840000,4.000000,-0.000000,6.230663
0.020000,4.952668,17.151185,1.920800,3.920000,4.000000,0.000000,6.231894
0.020000,5.031767,17.147184,2.000000,4.000000,4.000000,0.000000,6.233437
0.020000,5.112470,17.143239,2.080800,4.080000,4.000000,0.000000,6.235312
0.020000,5.194780,17.139386,2.163200,4.160000,4.000000,0.000000,6.237536
0.020000,5.278698,17.135659,2.247200,4.240000,4.000000,0.000000,6.240129
0.020000,5.364224,17.132099,2.332800,4.320000,4.000000,0.000000,6.243111
0.020000,5.451359,17.128751,2.420000,4.400000,4.000000,-0.000000,6.246503
0.020000,5.540105,17.125661,2.508800,4.480000,4.000000,0.000000,6.250324
0.020000,5.630463,17.122881,2.599200,4.560000,4.000000,-0.000000,6.254597
0.020000,5.722431,17.120467,2.691200,4.640000,4.000000,-0.000000,6.259345
0.020000,5.816009,17.118477,2.784800,4.720000,4.000000,0.000000,6.264588
0.020000,5.911198,17.116978,2.880000,4.800000,4.000000,0.000000,6.270352
0.020000,6.007993,17.116037,2.976800,4.880000,4.000000,-0.000000,6.276659
0.020000,6.106392,17.115730,3.075200,4.960000,4.000000,0.000000,0.000349
0.020000,6.206391,17.116134,3.175200,5.040000,4.000000,0.000000,0.007816
0.020000,6.307984,17.117334,3.276800,5.120000,4.000000,0.000000,0.015900
0.020000,6.411162,17.119421,3.380000,5.200000,4.000000,0.000000,0.024626
0.020000,6.515917,17.122489,3.484800,5.280000,4.000000,0.000000,0.034018
0.020000,6.622236,17.126639,3.591200,5.360000,4.000000,-0.000000,0.044101
0.020000,6.730103,17.131977,3.699200,5.440000,4.000000,0.000000,0.054899
0.020000,6.839501,17.138617,3.808800,5.520000,4.000000,0.000000,0.066436
0.020000,6.950408,17.146676,3.920000,5.600000,4.000000,-0.000000,0.078732
0.020000,7.062798,17.156277,4.032800,5.680000,4.000000,0.000000,0.091809
0.020000,7.176640,17.167549,4.147200,5.760000,4.000000,0.000000,0.105686
0.020000,7.291900,17.180627,4.263200,5.840000,4.000000,0.000000,0.120378
0.020000,7.408535,17.195649,4.380800,5.920000,4.000000,0.000000,0.135898
0.020000,7.526500,17.212757,4.500000,6.000000,4.000000,0.000000,0.152256
0.020000,7.644951,17.231964,4.620000,6.000000,0.000000,-200.000000,0.169341
0.020000,7.763051,17.253226,4.740000,6.000000,0.000000,0.000000,0.187020
0.020000,7.880749,17.276607,4.860000,6.000000,0.000000,0.000000,0.205267
0.020000,7.997994,17.302164,4.980000,6.000000,0.000000,0.000000,0.224050
0.020000,8.114732,17.329947,5.100000,6.000000,0.000000,0.000000,0.243335
0.020000,8.230905,17.360003,5.220000,6.000000,0.000000,0.000000,0.263082
0.020000,8.346454,17.392373,5.340000,6.000000,0.000000,0.000000,0.283250
0.020000,8.461321,17.427088,5.460000,6.000000,0.000000,0.000000,0.303793
