dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.040233,16.227583,0.000800,0.080000,4.000000,200.000000,0.000390
0.020000,3.040060,16.227583,0.000973,0.008666,-3.566713,-378.335658,0.000216
0.020000,3.040769,16.227583,0.001682,0.035432,1.338307,245.251023,6.283114
0.020000,3.045966,16.227582,0.006880,0.259888,11.222821,494.225679,6.282711
0.020000,3.052652,16.227577,0.013565,0.334253,3.718212,-375.230440,6.282196
0.020000,3.060826,16.227566,0.021739,0.408702,3.722456,0.212199,6.281570
0.020000,3.070491,16.227547,0.031404,0.483253,3.727565,0.255463,6.280835
0.020000,3.081649,16.227516,0.042562,0.557925,3.733584,0.300920,6.279994
0.020000,3.094304,16.227470,0.055217,0.632735,3.740512,0.346430,6.279049
0.020000,3.108458,16.227404,0.069371,0.707704,3.748466,0.397664,6.278003
0.020000,3.124114,16.227314,0.085028,0.782847,3.757128,0.433121,6.276860
0.020000,3.141278,16.227194,0.102192,0.858186,3.766952,0.491211,6.275623
0.020000,3.159952,16.227041,0.120867,0.933737,3.777561,0.530426,6.274298
0.020000,3.180141,16.226847,0.141057,1.009518,3.789042,0.574048,6.272888
0.020000,3.201851,16.226607,0.162768,1.085549,3.801563,0.626080,6.271399
0.020000,3.225086,16.226315,0.186005,1.161845,3.814790,0.661343,6.269836
0.020000,3.249852,16.225964,0.210773,1.238425,3.829022,0.711577,6.268205
0.020000,3.276155,16.225548,0.237079,1.315310,3.844238,0.760810,6.266511
0.020000,3.304001,16.225059,0.264930,1.392514,3.860174,0.796797,6.264761
0.020000,3.333396,16.224491,0.294331,1.470055,3.877088,0.845693,6.262962
0.020000,3.364348,16.223836,0.325290,1.547952,3.894845,0.887880,6.261122
0.020000,3.396864,16.223088,0.357814,1.626220,3.913387,0.927086,6.259246
0.020000,3.430951,16.222239,0.391912,1.704879,3.932951,0.978180,6.257344
0.020000,3.466617,16.221283,0.427591,1.783943,3.953189,1.011912,6.255422
0.020000,3.503871,16.220212,0.464859,1.863430,3.974371,1.059113,6.253491
0.020000,3.542719,16.219020,0.503727,1.943359,3.996459,1.104416,6.251558
0.020000,3.583173,16.217701,0.544201,2.023742,4.019151,1.134597,6.249633
0.020000,3.625240,16.216249,0.586293,2.104600,4.042902,1.187550,6.247725
0.020000,3.668930,16.214657,0.630012,2.185947,4.067307,1.220248,6.245844
0.020000,3.714252,16.212922,0.675368,2.267800,4.092682,1.268712,6.244000
0.020000,3.761218,16.211038,0.722372,2.350175,4.118717,1.301778,6.242203
0.020000,3.809837,16.209001,0.771034,2.433088,4.145690,1.348650,6.240465
0.020000,3.860121,16.206809,0.821365,2.516556,4.173403,1.385635,6.238796
0.020000,3.912080,16.204459,0.873377,2.600595,4.201909,1.425294,6.237208
0.020000,3.965725,16.201950,0.927081,2.685221,4.231323,1.470692,6.235713
0.020000,4.021070,16.199282,0.982490,2.770451,4.261513,1.509543,6.234322
0.020000,4.078126,16.196454,1.039616,2.856302,4.292551,1.551867,6.233048
0.020000,4.136906,16.193470,1.098472,2.942790,4.324366,1.590745,6.231904
0.020000,4.197424,16.190333,1.159071,3.029933,4.357174,1.640423,6.230902
0.020000,4.259692,16.187047,1.221426,3.117749,4.390784,1.680474,6.230057
0.020000,4.323725,16.183619,1.285551,3.206255,4.425315,1.726581,6.229382
0.020000,4.389538,16.180057,1.351460,3.295470,4.460749,1.771698,6.228892
0.020000,4.457146,16.176372,1.419168,3.385414,4.497194,1.822256,6.228600
0.020000,4.526565,16.172575,1.488690,3.476106,4.534596,1.870074,6.228522
0.020000,4.597810,16.168681,1.560042,3.567566,4.573028,1.921607,6.228673
0.020000,4.670898,16.164706,1.633238,3.659817,4.612530,1.975082,6.229070
0.020000,4.745847,16.160669,1.708296,3.752880,4.653139,2.030454,6.229727
0.020000,4.822674,16.156592,1.785231,3.846777,4.694877,2.086900,6.230663
0.020000,4.901399,16.152500,1.864062,3.941535,4.737870,2.149666,6.231894
0.020000,4.982039,16.148421,1.944805,4.037175,4.781991,2.206044,6.233437
0.020000,5.064615,16.144385,2.027480,4.133725,4.827518,2.276335,6.235312
0.020000,5.149147,16.140427,2.112104,4.231212,4.874342,2.341212,6.237536
0.020000,5.235655,16.136586,2.198697,4.329661,4.922458,2.405793,6.240129
0.020000,5.324160,16.132902,2.287279,4.429102,4.972074,2.480837,6.243111
0.020000,5.414685,16.129424,2.377871,4.529564,5.023057,2.549135,6.246503
0.020000,5.507250,16.126201,2.470492,4.631074,5.075507,2.622518,6.250324
0.020000,5.601878,16.123290,2.565165,4.733663,5.129449,2.697100,6.254597
0.020000,5.698592,16.120751,2.661913,4.837357,5.184720,2.763528,6.259345
0.020000,5.797414,16.118650,2.760756,4.942188,5.241535,2.840760,6.264588
0.020000,5.898365,16.117060,2.861720,5.048179,5.299554,2.900953,6.270352
0.020000,6.001467,16.116059,2.964827,5.155353,5.358692,2.956869,6.276659
0.020000,6.106741,16.115730,3.070102,5.263736,5.419171,3.023944,0.000349
0.020000,6.214207,16.116164,3.177569,5.373342,5.480279,3.055415,0.007816
0.020000,6.323883,16.117461,3.287252,5.484185,5.542142,3.093169,0.015900
0.020000,6.435786,16.119724,3.399178,5.596265,5.604033,3.094527,0.024626
0.020000,6.549928,16.123067,3.513369,5.709587,5.666065,3.101624,0.034018
0.020000,6.666322,16.127611,3.629852,5.824133,5.727328,3.063140,0.044101
0.020000,6.784975,16.133484,3.748649,5.939878,5.787236,2.995420,0.054899
0.020000,6.905888,16.140823,3.869785,6.056782,5.845229,2.899643,0.066436
0.020000,7.029059,16.149774,3.993281,6.174789,5.900350,2.756036,0.078732
0.020000,7.154478,16.160489,4.119157,6.293822,5.951619,2.563435,0.091809
0.020000,7.282130,16.173129,4.247433,6.413780,5.997924,2.315275,0.105686
0.020000,7.411987,16.187864,4.378124,6.534539,6.037924,2.000003,0.120378
0.020000,7.544015,16.204869,4.511243,6.655945,6.070314,1.619481,0.135898
0.020000,7.678168,16.224326,4.646799,6.777816,6.093531,1.160851,0.152256
0.020000,7.813483,16.246268,4.783882,6.854137,3.816086,-113.872257,0.169341
0.020000,7.948982,16.270664,4.921559,6.883886,1.487437,-116.432427,0.187020
0.020000,8.084578,16.297601,5.059805,6.912256,1.418485,-3.447604,0.205267
0.020000,8.220175,16.327158,5.198586,6.939052,1.339814,-3.933536,0.224050
0.020000,8.355672,16.359407,5.337868,6.964109,1.252852,-4.348130,0.243335
0.020000,8.490962,16.394410,5.477613,6.987238,1.156458,-4.819711,0.263082
0.020000,8.625931,16.432221,5.617778,7.008269,1.051555,-5.245154,0.283250
0.020000,8.760463,16.472879,5.758319,7.027047,0.938867,-5.634380,0.303793
0.020000,8.894435,16.516416,5.899188,7.043434,0.819364,-5.975135,0.324664
0.020000,9.027724,16.562850,6.040334,7.057319,0.694255,-6.255458,0.345813
0.020000,9.160208,16.612187,6.181706,7.068602,0.564154,-6.505074,0.367188
0.020000,9.291763,16.664419,6.323250,7.077215,0.430635,-6.675933,0.388735
0.020000,9.422268,16.719528,6.464914,7.083168,0.297677,-6.647909,0.410401
0.020000,9.551605,16.777483,6.606642,7.086409,0.162046,-6.781547,0.432132
0.020000,9.674416,16.835760,6.742578,6.796819,-14.479500,-732.077282,0.456151
0.020000,9.812887,16.906783,6.898202,7.781167,49.217382,3184.844100,0.491783
0.020000,9.949273,16.983051,7.054464,7.813138,1.598552,-2380.941509,0.528054
0.020000,10.083168,17.064479,7.211175,7.835523,1.119267,-23.964269,0.564774
0.020000,10.214171,17.150918,7.368125,7.847527,0.600180,-25.954336,0.601734
0.020000,10.341899,17.242147,7.525088,7.848155,0.031427,-28.437628,0.638706
0.020000,10.466002,17.337890,7.681831,7.837123,-0.551620,-29.152370,0.675457
0.020000,10.586176,17.437811,7.838119,7.814408,-1.135748,-29.206371,0.711754
0.020000,10.702171,17.541536,7.993727,7.780380,-1.701423,-28.283796,0.747370
0.020000,10.813800,17.648658,8.148440,7.735651,-2.236423,-26.749995,0.782091
0.020000,10.920945,17.758754,8.302066,7.681323,-2.716398,-23.998725,0.815725
0.020000,11.023550,17.871398,8.454436,7.618507,-3.140787,-21.219459,0.848102
0.020000,11.121628,17.986174,8.605408,7.548600,-3.495359,-17.728613,0.879080
0.020000,11.215243,18.102681,8.754867,7.472933,-3.783342,-14.399156,0.908544
0.020000,11.304514,18.220548,8.902724,7.392873,-4.002999,-10.982817,0.936406
0.020000,11.389597,18.339432,9.048918,7.309667,-4.160306,-7.865379,0.962604
0.020000,11.470683,18.459023,9.193407,7.224448,-4.260975,-5.033460,0.987096
0.020000,11.547987,18.579047,9.336170,7.138183,-4.313236,-2.613038,1.009863
0.020000,11.621738,18.699259,9.477204,7.051660,-4.326177,-0.647043,1.030899
0.020000,11.692179,18.819450,9.616515,6.965547,-4.305617,1.028020,1.050212
0.020000,11.759554,18.939433,9.754120,6.880282,-4.263259,2.117861,1.067819
0.020000,11.824109,19.059049,9.890045,6.796254,-4.201391,3.093445,1.083746
0.020000,11.886089,19.178161,10.024318,6.713622,-4.131620,3.488545,1.098020
0.020000,11.945730,19.296648,10.156969,6.632549,-4.053634,3.899265,1.110671
0.020000,12.003122,19.414111,10.287702,6.536691,-4.792907,-36.963609,1.121707
0.020000,12.058137,19.529685,10.415702,6.399997,-6.834686,-102.088987,1.131109
0.020000,12.110807,19.642833,10.540508,6.240296,-7.985083,-57.519813,1.138917
0.020000,12.161386,19.753518,10.662202,6.084706,-7.779478,10.280205,1.145213
0.020000,12.210100,19.861717,10.780862,5.932956,-7.587518,9.597999,1.150074
0.020000,12.257156,19.967409,10.896556,5.784739,-7.410840,8.833929,1.153570
0.020000,12.302741,20.070584,11.009352,5.639794,-7.247231,8.180442,1.155768
0.020000,12.347019,20.171232,11.119309,5.497858,-7.096810,7.521030,1.156727
0.020000,12.390141,20.269348,11.226483,5.358697,-6.958035,6.938779,1.156502
0.020000,12.432239,20.364930,11.330925,5.222100,-6.829895,6.407018,1.155146
0.020000,12.473432,20.457977,11.432683,5.087877,-6.711129,5.938297,1.152705
0.020000,12.513824,20.548490,11.531800,4.955869,-6.600415,5.535680,1.149224
0.020000,12.553508,20.636473,11.628319,4.825935,-6.496696,5.185926,1.144745
0.020000,12.592565,20.721931,11.722278,4.697968,-6.398331,4.918285,1.139306
0.020000,12.631062,20.804869,11.813716,4.571872,-6.304826,4.675223,1.132945
0.020000,12.669062,20.885296,11.902668,4.447591,-6.214033,4.539650,1.125699
0.020000,12.706614,20.963221,11.989169,4.325080,-6.125547,4.424334,1.117602
0.020000,12.743760,21.038658,12.073255,4.204311,-6.038428,4.355951,1.108691
0.020000,12.780535,21.111619,12.154961,4.085277,-5.951741,4.334309,1.098998
0.020000,12.816965,21.182124,12.234321,3.968020,-5.862818,4.446171,1.088561
0.020000,12.853073,21.250191,12.311372,3.852540,-5.774017,4.440058,1.077413
0.020000,12.888871,21.315843,12.386150,3.738899,-5.682054,4.598136,1.065594
0.020000,12.924370,21.379107,12.458693,3.627154,-5.587261,4.739642,1.053139
0.020000,12.959575,21.440012,12.529041,3.517380,-5.488692,4.928456,1.040089
0.020000,12.994485,21.498591,12.597233,3.409633,-5.387335,5.067855,1.026484
0.020000,13.029097,21.554881,12.663314,3.304008,-5.281243,5.304599,1.012366
0.020000,13.063405,21.608923,12.727325,3.200582,-5.171293,5.497481,0.997780
0.020000,13.097399,21.660759,12.789314,3.099429,-5.057668,5.681293,0.982771
0.020000,13.131069,21.710436,12.849326,3.000625,-4.940204,5.873194,0.967386
0.020000,13.164401,21.758005,12.907411,2.904233,-4.819592,6.030595,0.951673
0.020000,13.197380,21.803519,12.963617,2.810311,-4.696111,6.174063,0.935681
0.020000,13.229992,21.847032,13.017995,2.718894,-4.570864,6.262319,0.919461
0.020000,13.262221,21.888602,13.070595,2.630007,-4.444324,6.327030,0.903064
0.020000,13.294048,21.928290,13.121468,2.543661,-4.317318,6.350277,0.886539
0.020000,13.325459,21.966154,13.170665,2.459842,-4.190929,6.319426,0.869938
0.020000,13.356435,22.002257,13.218236,2.378518,-4.066208,6.236083,0.853311
0.020000,13.386960,22.036659,13.264228,2.299642,-3.943807,6.120030,0.836706
0.020000,13.417017,22.069424,13.308691,2.223152,-3.824500,5.965374,0.820171
0.020000,13.446589,22.100613,13.351670,2.148945,-3.710325,5.708735,0.803753
0.020000,13.475659,22.130285,13.393209,2.076937,-3.600425,5.495020,0.787494
0.020000,13.504209,22.158500,13.433349,2.007000,-3.496840,5.179228,0.771436
0.020000,13.532223,22.185316,13.472129,1.939017,-3.399158,4.884098,0.755618
0.020000,13.559685,22.210790,13.509586,1.872849,-3.308381,4.538870,0.740078
0.020000,13.586575,22.234975,13.545754,1.808355,-3.224735,4.182311,0.724847
0.020000,13.612879,22.257925,13.580661,1.745385,-3.148470,3.813201,0.709957
0.020000,13.638577,22.279689,13.614337,1.683802,-3.079164,3.465345,0.695434
0.020000,13.663651,22.300316,13.646806,1.623430,-3.018605,3.027933,0.681305
0.020000,13.688085,22.319852,13.678089,1.564161,-2.963435,2.758518,0.667590
0.020000,13.711860,22.338340,13.708206,1.505852,-2.915460,2.398747,0.654309
0.020000,13.734956,22.355821,13.737173,1.448330,-2.876071,1.969416,0.641478
0.020000,13.757357,22.372337,13.765004,1.391546,-2.839234,1.841868,0.629110
0.020000,13.779043,22.387922,13.791709,1.335290,-2.812790,1.322175,0.617218
0.020000,13.799997,22.402614,13.817300,1.279543,-2.787336,1.272700,0.605811
0.020000,13.820198,22.416445,13.841783,1.224134,-2.770447,0.844452,0.594896
0.020000,13.839630,22.429447,13.865164,1.169042,-2.754633,0.790717,0.584478
0.020000,13.858275,22.441650,13.887446,1.114129,-2.745624,0.450469,0.574563
0.020000,13.876114,22.453081,13.908634,1.059375,-2.737689,0.396753,0.565152
0.020000,13.893131,22.463766,13.928728,1.004701,-2.733717,0.198605,0.556248
0.020000,13.909310,22.473731,13.947729,0.950027,-2.733685,0.001566,0.547850
0.020000,13.924633,22.482998,13.965636,0.895374,-2.732662,0.051181,0.539959
0.020000,13.939085,22.491588,13.982448,0.840623,-2.737534,-0.243597,0.532574
0.020000,13.952653,22.499521,13.998165,0.785841,-2.739128,-0.079738,0.525692
0.020000,13.965321,22.506816,14.012784,0.730920,-2.746051,-0.346136,0.519313
0.020000,13.977076,22.513491,14.026302,0.675908,-2.750571,-0.225981,0.513433
0.020000,13.987907,22.519560,14.038717,0.620764,-2.757217,-0.332294,0.508050
0.020000,13.997802,22.525037,14.050027,0.565501,-2.763168,-0.297570,0.503162
0.020000,14.006750,22.529937,14.060229,0.510096,-2.770248,-0.354022,0.498765
0.020000,14.014743,22.534270,14.069321,0.454589,-2.775318,-0.253464,0.494858
0.020000,14.021770,22.538047,14.077299,0.398892,-2.784863,-0.477281,0.491438
0.020000,14.027826,22.541277,14.084162,0.343162,-2.786506,-0.082134,0.488503
