dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,14.857815,23.832412,0.000800,0.080000,4.000000,200.000000,2.441994
0.020000,14.858302,23.832003,0.001436,0.031802,-2.409893,-320.494654,2.442630
0.020000,14.859110,23.831324,0.002492,0.052810,1.050387,173.013982,2.443691
0.020000,14.855957,23.833965,0.006606,0.205668,7.642899,329.625647,2.445179
0.020000,14.851901,23.837350,0.011888,0.264143,2.923759,-235.957045,2.447096
0.020000,14.846941,23.841471,0.018337,0.322438,2.914742,-0.450807,2.449446
0.020000,14.841074,23.846321,0.025950,0.380615,2.908865,-0.293860,2.452235
0.020000,14.834299,23.851887,0.034717,0.438384,2.888426,-1.021957,2.455467
0.020000,14.826613,23.858156,0.044636,0.495927,2.877179,-0.562352,2.459148
0.020000,14.818014,23.865116,0.055699,0.553150,2.861121,-0.802904,2.463285
0.020000,14.808498,23.872749,0.067898,0.609953,2.840167,-1.047684,2.467887
0.020000,14.798062,23.881036,0.081224,0.666304,2.817541,-1.131323,2.472960
0.020000,14.786703,23.889959,0.095668,0.722227,2.796179,-1.068115,2.478515
0.020000,14.774416,23.899496,0.111222,0.777695,2.773379,-1.139964,2.484561
0.020000,14.761198,23.909624,0.127875,0.832611,2.745817,-1.378106,2.491110
0.020000,14.747044,23.920315,0.145612,0.886890,2.713936,-1.594069,2.498171
0.020000,14.731950,23.931546,0.164426,0.940704,2.690708,-1.161394,2.505757
0.020000,14.715910,23.943284,0.184303,0.993814,2.655464,-1.762196,2.513881
0.020000,14.698919,23.955501,0.205230,1.046344,2.626522,-1.447095,2.522554
0.020000,14.680973,23.968163,0.227193,1.098169,2.591268,-1.762681,2.531790
0.020000,14.662064,23.981236,0.250181,1.149381,2.560588,-1.534045,2.541603
0.020000,14.642188,23.994683,0.274178,1.199888,2.525351,-1.761834,2.552005
0.020000,14.621336,24.008466,0.299174,1.249780,2.494574,-1.538824,2.563009
0.020000,14.599503,24.022547,0.325154,1.298995,2.460783,-1.689570,2.574629
0.020000,14.576679,24.036884,0.352107,1.347647,2.432598,-1.409269,2.586876
0.020000,14.552857,24.051433,0.380021,1.395718,2.403537,-1.453037,2.599761
0.020000,14.528025,24.066152,0.408887,1.443300,2.379117,-1.220988,2.613295
0.020000,14.502175,24.080995,0.438696,1.490447,2.357319,-1.089896,2.627486
0.020000,14.475292,24.095916,0.469442,1.537277,2.341504,-0.790752,2.642340
0.020000,14.447364,24.110867,0.501120,1.583908,2.331549,-0.497768,2.657861
0.020000,14.418374,24.125800,0.533730,1.630519,2.330565,-0.049214,2.674050
0.020000,14.388303,24.140666,0.567275,1.677232,2.335624,0.252977,2.690905
0.020000,14.357131,24.155415,0.601761,1.724296,2.353239,0.880743,2.708419
0.020000,14.324833,24.169998,0.637198,1.771868,2.378603,1.268199,2.726581
0.020000,14.291381,24.184363,0.673604,1.820299,2.421532,2.146460,2.745374
0.020000,14.256743,24.198461,0.711000,1.869813,2.475687,2.707740,2.764778
0.020000,14.220885,24.212238,0.749414,1.920685,2.543612,3.396245,2.784763
0.020000,14.183766,24.225643,0.788880,1.973314,2.631429,4.390868,2.805296
0.020000,14.145339,24.238624,0.829440,2.027995,2.734083,5.132703,2.826336
0.020000,14.105556,24.251126,0.871141,2.085057,2.853101,5.950907,2.847833
0.020000,14.064362,24.263096,0.914039,2.144893,2.991787,6.934288,2.869735
0.020000,14.021698,24.274478,0.958195,2.207814,3.146055,7.713385,2.891978
0.020000,13.977501,24.285215,1.003678,2.274128,3.315700,8.482272,2.914494
0.020000,13.931704,24.295250,1.050561,2.344158,3.501472,9.288585,2.937210
0.020000,13.884238,24.304522,1.098924,2.418141,3.699197,9.886226,2.960046
0.020000,13.835033,24.312971,1.148850,2.496280,3.906904,10.385369,2.982919
0.020000,13.784015,24.320535,1.200425,2.578753,4.123685,10.839077,3.005743
0.020000,13.731115,24.327151,1.253738,2.665650,4.344819,11.056690,3.028429
0.020000,13.676260,24.332757,1.308878,2.757007,4.567853,11.151669,3.050887
0.020000,13.619384,24.337291,1.365934,2.852814,4.790349,11.124799,3.073030
0.020000,13.560422,24.340690,1.424994,2.952993,5.008948,10.929992,3.094769
0.020000,13.499314,24.342897,1.486142,3.057419,5.221301,10.617647,3.116019
0.020000,13.436003,24.343854,1.549461,3.165919,5.425030,10.186417,3.136700
0.020000,13.370438,24.343511,1.615027,3.278290,5.618542,9.675630,3.156733
0.020000,13.302573,24.341820,1.682913,3.394301,5.800551,9.100409,3.176046
0.020000,13.232366,24.338740,1.753187,3.513700,5.969952,8.470085,3.194571
0.020000,13.159781,24.334238,1.825911,3.636249,6.127421,7.873438,3.212245
0.020000,13.084783,24.328289,1.901145,3.761688,6.271979,7.227908,3.229010
0.020000,13.007341,24.320875,1.978941,3.889792,6.405202,6.661166,3.244813
0.020000,12.927426,24.311989,2.059348,4.020359,6.528319,6.155842,3.259606
0.020000,12.845010,24.301632,2.142412,4.153204,6.642290,5.698526,3.273341
