dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,16.145636,25.362614,0.000800,0.080000,4.000000,200.000000,2.441994
0.020000,16.145149,25.363023,0.001436,0.031802,-2.409893,-320.494654,2.442630
0.020000,16.144333,25.363708,0.002501,0.053265,1.073129,174.151088,2.443691
0.020000,16.138899,25.368259,0.009590,0.354421,15.057825,699.234831,2.445179
0.020000,16.131899,25.374101,0.018707,0.455855,5.071710,-499.305753,2.447096
0.020000,16.123323,25.381227,0.029856,0.557477,5.081104,0.469671,2.449446
0.020000,16.113157,25.389630,0.043047,0.659507,5.101478,1.018737,2.452235
0.020000,16.101388,25.399299,0.058278,0.761550,5.102142,0.033165,2.455467
0.020000,16.087998,25.410222,0.075558,0.864034,5.124201,1.102972,2.459148
0.020000,16.072966,25.422388,0.094896,0.966901,5.143374,0.958650,2.463285
0.020000,16.056271,25.435778,0.116298,1.070089,5.159365,0.799553,2.467887
0.020000,16.037889,25.450376,0.139771,1.173642,5.177655,0.914483,2.472960
0.020000,16.017794,25.466162,0.165325,1.277708,5.203304,1.282462,2.478515
0.020000,15.995954,25.483114,0.192972,1.382337,5.231434,1.406517,2.484561
0.020000,15.972339,25.501207,0.222721,1.487454,5.255867,1.221644,2.491110
0.020000,15.946918,25.520410,0.254581,1.592993,5.276943,1.053792,2.498171
0.020000,15.919649,25.540697,0.288568,1.699345,5.317611,2.033387,2.505757
0.020000,15.890499,25.562031,0.324691,1.806150,5.340230,1.130970,2.513881
0.020000,15.859424,25.584374,0.362964,1.913693,5.377192,1.848094,2.522554
0.020000,15.826384,25.607685,0.403400,2.021791,5.404864,1.383588,2.531790
0.020000,15.791332,25.631918,0.446013,2.130635,5.442228,1.868186,2.541603
0.020000,15.754225,25.657022,0.490814,2.240063,5.471395,1.458382,2.552005
0.020000,15.715014,25.682943,0.537819,2.350218,5.507764,1.818459,2.563009
0.020000,15.673650,25.709618,0.587037,2.460935,5.535844,1.404001,2.574629
0.020000,15.630085,25.736983,0.638484,2.572336,5.570056,1.710562,2.586876
0.020000,15.584269,25.764964,0.692169,2.684258,5.596072,1.300832,2.599761
0.020000,15.536153,25.793485,0.748103,2.796698,5.621986,1.295703,2.613295
0.020000,15.485689,25.822460,0.806294,2.909522,5.641224,0.961889,2.627486
0.020000,15.432831,25.851797,0.866747,3.022667,5.657266,0.802107,2.642340
0.020000,15.377536,25.881398,0.929467,3.135999,5.666567,0.465045,2.657861
0.020000,15.319761,25.911157,0.994456,3.249432,5.671669,0.255076,2.674050
0.020000,15.259472,25.940961,1.061709,3.362690,5.662874,-0.439722,2.690905
0.020000,15.196637,25.970692,1.131223,3.475672,5.649108,-0.688340,2.708419
0.020000,15.131234,26.000221,1.202983,3.588003,5.616576,-1.626561,2.726581
0.020000,15.063246,26.029418,1.276975,3.699623,5.580997,-1.778946,2.745374
0.020000,14.992665,26.058144,1.353178,3.810137,5.525667,-2.766531,2.764778
0.020000,14.919496,26.086256,1.431562,3.919180,5.452150,-3.675859,2.784763
0.020000,14.843752,26.113610,1.512093,4.026579,5.369980,-4.108489,2.805296
0.020000,14.765460,26.140057,1.594731,4.131912,5.266653,-5.166332,2.826336
0.020000,14.684661,26.165451,1.679427,4.234794,5.144090,-6.128146,2.847833
0.020000,14.601405,26.189644,1.766127,4.334974,5.008982,-6.755388,2.869735
0.020000,14.515760,26.212493,1.854768,4.432060,4.854308,-7.733723,2.891978
0.020000,14.427804,26.233863,1.945282,4.525708,4.682426,-8.594086,2.914494
0.020000,14.337630,26.253622,2.037596,4.615688,4.498963,-9.173156,2.937210
0.020000,14.245341,26.271653,2.131630,4.701710,4.301098,-9.893239,2.960046
0.020000,14.151050,26.287846,2.227301,4.783545,4.091753,-10.467263,2.982919
0.020000,14.054880,26.302108,2.324523,4.861081,3.876801,-10.747605,3.005743
0.020000,13.956960,26.314359,2.423206,4.934190,3.655476,-11.066270,3.028429
0.020000,13.857422,26.324536,2.523263,5.002826,3.431809,-11.183308,3.050887
0.020000,13.756402,26.332592,2.624603,5.067021,3.209746,-11.103189,3.073030
0.020000,13.654036,26.338498,2.727140,5.126844,2.991145,-10.930023,3.094769
0.020000,13.550455,26.342243,2.830789,5.182424,2.778985,-10.607992,3.116019
0.020000,13.445789,26.343830,2.935467,5.233928,2.575185,-10.190011,3.136700
0.020000,13.340159,26.343282,3.041099,5.281564,2.381802,-9.669150,3.156733
0.020000,13.233680,26.340633,3.147610,5.325565,2.200048,-9.087689,3.176046
0.020000,13.126460,26.335934,3.254933,5.366167,2.030113,-8.496751,3.194571
0.020000,13.018594,26.329249,3.363006,5.403639,1.873597,-7.825799,3.212245
0.020000,12.910170,26.320652,3.471770,5.438206,1.728332,-7.263291,3.229010
0.020000,12.801266,26.310230,3.581172,5.470104,1.594916,-6.670767,3.244813
0.020000,12.691948,26.298078,3.691163,5.499551,1.472355,-6.128087,3.259606
0.020000,12.582276,26.284300,3.801698,5.526721,1.358508,-5.692337,3.273341
0.020000,12.472299,26.269007,3.912733,5.551756,1.251729,-5.338932,3.285977
0.020000,12.362059,26.252320,4.024228,5.574761,1.150247,-5.074121,3.297472
0.020000,12.251593,26.234364,4.136144,5.595808,1.052379,-4.893369,3.307789
0.020000,12.140930,26.215271,4.248442,5.614914,0.955293,-4.854309,3.316888
0.020000,12.030095,26.195180,4.361084,5.632055,0.857071,-4.911114,3.324729
0.020000,11.919111,26.174235,4.474027,5.647157,0.755083,-5.099383,3.331272
0.020000,11.807997,26.152590,4.587229,5.660106,0.647456,-5.381357,3.336475
0.020000,11.696774,26.130402,4.700644,5.670736,0.531495,-5.798067,3.340289
0.020000,11.585462,26.107837,4.814220,5.678829,0.404621,-6.343702,3.342666
0.020000,11.474083,26.085069,4.927903,5.684126,0.264865,-6.987796,3.343549
0.020000,11.362663,26.062279,5.041629,5.686321,0.109775,-7.754512,3.342875
0.020000,11.251234,26.039660,5.155330,5.685060,-0.063051,-8.641273,3.340576
0.020000,11.139835,26.017411,5.268929,5.679951,-0.255448,-9.619855,3.336575
0.020000,11.028513,25.995743,5.382341,5.670565,-0.469311,-10.693141,3.330787
0.020000,10.918057,25.975010,5.494726,5.619279,-2.564291,-104.749000,3.323173
0.020000,10.809223,25.955539,5.605288,5.528100,-4.558974,-99.734156,3.313735
0.020000,10.702027,25.937506,5.713990,5.435113,-4.649322,-4.517407,3.302438
0.020000,10.596496,25.921078,5.820792,5.340093,-4.751035,-5.085624,3.289240
0.020000,10.492667,25.906419,5.925651,5.242920,-4.858643,-5.380422,3.274100
0.020000,10.390588,25.893681,6.028522,5.143555,-4.968236,-5.479631,3.256972
0.020000,10.290312,25.883011,6.129364,5.042101,-5.072686,-5.222504,3.237816
0.020000,10.191899,25.874544,6.228140,4.938832,-5.163467,-4.539065,3.216594
0.020000,10.095410,25.868403,6.324825,4.834204,-5.231425,-3.397876,3.193281
0.020000,10.000904,25.864697,6.419403,4.728903,-5.265031,-1.680302,3.167861
0.020000,9.908434,25.863519,6.511880,4.623881,-5.251094,0.696844,3.140342
0.020000,9.818038,25.864949,6.602287,4.520359,-5.176089,3.750255,3.110752
0.020000,9.706847,25.868379,6.713532,5.562212,52.092647,2863.436798,3.111470
0.020000,9.585344,25.871945,6.835087,6.077751,25.776917,-1315.786533,3.113025
0.020000,9.463866,25.875323,6.956612,6.076243,-0.075364,-1292.614057,3.114550
0.020000,9.342414,25.878517,7.078106,6.074734,-0.075444,-0.003980,3.116045
0.020000,9.220987,25.881531,7.199571,6.073224,-0.075500,-0.002820,3.117510
0.020000,9.099585,25.884368,7.321005,6.071714,-0.075533,-0.001606,3.118944
0.020000,8.978211,25.887032,7.442409,6.070202,-0.075596,-0.003173,3.120348
0.020000,8.856862,25.889526,7.563783,6.068689,-0.075642,-0.002278,3.121722
0.020000,8.735541,25.891856,7.685126,6.067176,-0.075668,-0.001333,3.123065
0.020000,8.614247,25.894023,7.806440,6.065661,-0.075717,-0.002460,3.124378
0.020000,8.492981,25.896033,7.927722,6.064146,-0.075754,-0.001811,3.125661
0.020000,8.371743,25.897888,8.048975,6.062631,-0.075775,-0.001089,3.126914
0.020000,8.250532,25.899593,8.170197,6.061115,-0.075812,-0.001851,3.128136
0.020000,8.129351,25.901151,8.291389,6.059598,-0.075841,-0.001407,3.129328
0.020000,8.008197,25.902567,8.412551,6.058081,-0.075858,-0.000870,3.130490
0.020000,7.887073,25.903843,8.533682,6.056563,-0.075885,-0.001345,3.131621
0.020000,7.765977,25.904983,8.654783,6.055045,-0.075906,-0.001058,3.132722
0.020000,7.644911,25.905992,8.775854,6.053526,-0.075920,-0.000674,3.133793
0.020000,7.523874,25.906873,8.896894,6.052008,-0.075938,-0.000936,3.134833
0.020000,7.402866,25.907630,9.017904,6.050489,-0.075953,-0.000759,3.135843
0.020000,7.281889,25.908266,9.138883,6.048969,-0.075963,-0.000500,3.136822
0.020000,7.160941,25.908785,9.259832,6.047450,-0.075976,-0.000617,3.137771
0.020000,7.040023,25.909191,9.380751,6.045930,-0.075986,-0.000506,3.138690
0.020000,6.919135,25.909488,9.501639,6.044410,-0.075993,-0.000350,3.139578
0.020000,6.798277,25.909680,9.622497,6.042890,-0.076000,-0.000375,3.140436
0.020000,6.677450,25.909769,9.743324,6.041370,-0.076006,-0.000297,3.141263
0.020000,6.556653,25.909761,9.864121,6.039850,-0.076011,-0.000223,3.142060
0.020000,6.435887,25.909658,9.984888,6.038330,-0.076015,-0.000200,3.142827
0.020000,6.315151,25.909464,10.105624,6.036809,-0.076017,-0.000131,3.143563
0.020000,6.194445,25.909183,10.226330,6.035289,-0.076020,-0.000120,3.144269
0.020000,6.073770,25.908819,10.347005,6.033768,-0.076021,-0.000079,3.144944
0.020000,5.953126,25.908376,10.467650,6.032248,-0.076021,-0.000005,3.145589
0.020000,5.832513,25.907856,10.588264,6.030727,-0.076022,-0.000041,3.146203
0.020000,5.711930,25.907265,10.708849,6.029207,-0.076022,-0.000003,3.146788
0.020000,5.591378,25.906605,10.829402,6.027687,-0.076021,0.000083,3.147341
0.020000,5.470857,25.905880,10.949926,6.026166,-0.076020,0.000016,3.147865
0.020000,5.350367,25.905094,11.070418,6.024646,-0.076020,0.000040,3.148358
0.020000,5.229907,25.904251,11.190881,6.023125,-0.076017,0.000137,3.148820
0.020000,5.109478,25.903355,11.311313,6.021605,-0.076016,0.000051,3.149252
0.020000,4.989080,25.902408,11.431715,6.020085,-0.076015,0.000058,3.149654
0.020000,4.868713,25.901415,11.552086,6.018565,-0.076011,0.000159,3.150025
0.020000,4.748764,25.900383,11.672040,5.997693,-1.043566,-48.377732,3.150365
0.020000,4.630034,25.899323,11.790775,5.936738,-3.047762,-100.209773,3.150672
0.020000,4.512937,25.898243,11.907876,5.855080,-4.082894,-51.756609,3.150945
0.020000,4.397473,25.897149,12.023346,5.773482,-4.079932,0.148062,3.151187
0.020000,4.283639,25.896045,12.137185,5.691941,-4.077012,0.146018,3.151398
0.020000,4.171435,25.894934,12.249394,5.610459,-4.074132,0.144002,3.151579
0.020000,4.060860,25.893821,12.359975,5.529033,-4.071293,0.141976,3.151731
0.020000,3.951913,25.892710,12.468928,5.447663,-4.068494,0.139923,3.151857
0.020000,3.844591,25.891602,12.576255,5.366348,-4.065737,0.137867,3.151955
0.020000,3.738895,25.890503,12.681957,5.285088,-4.063020,0.135857,3.152029
0.020000,3.634824,25.889414,12.786034,5.203881,-4.060343,0.133817,3.152079
