dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.084510,17.182917,0.000800,0.080000,4.000000,200.000000,0.000000
0.020000,3.084510,17.182917,0.003200,0.160000,4.000000,0.000000,0.000000
0.020000,3.085635,17.182917,0.007200,0.240000,4.000000,-0.000000,0.000000
0.020000,3.091235,17.182917,0.012800,0.320000,4.000000,0.000000,0.000000
0.020000,3.098435,17.182917,0.020000,0.400000,4.000000,0.000000,0.000000
0.020000,3.107235,17.182917,0.028800,0.480000,4.000000,-0.000000,0.000000
0.020000,3.117635,17.182917,0.039200,0.560000,4.000000,0.000000,0.000000
0.020000,3.129635,17.182917,0.051200,0.640000,4.000000,-0.000000,0.000000
0.020000,3.143235,17.182917,0.064800,0.720000,4.000000,0.000000,0.000000
0.020000,3.158435,17.182917,0.080000,0.800000,4.000000,0.000000,0.000000
0.020000,3.175235,17.182917,0.096800,0.880000,4.000000,-0.000000,0.000000
0.020000,3.193635,17.182917,0.115200,0.960000,4.000000,0.000000,0.000000
0.020000,3.213635,17.182917,0.135200,1.040000,4.000000,0.000000,0.000000
0.020000,3.235235,17.182917,0.156800,1.120000,4.000000,0.000000,0.000000
0.020000,3.258435,17.182917,0.180000,1.200000,4.000000,0.000000,0.000000
0.020000,3.283235,17.182917,0.204800,1.280000,4.000000,-0.000000,0.000000
0.020000,3.309635,17.182917,0.231200,1.360000,4.000000,0.000000,0.000000
0.020000,3.337635,17.182917,0.259200,1.440000,4.000000,0.000000,0.000000
0.020000,3.367235,17.182917,0.288800,1.520000,4.000000,0.000000,0.000000
0.020000,3.398435,17.182917,0.320000,1.600000,4.000000,0.000000,0.000000
0.020000,3.431235,17.182917,0.352800,1.680000,4.000000,0.000000,0.000000
0.020000,3.465635,17.182917,0.387200,1.760000,4.000000,-0.000000,0.000000
0.020000,3.501635,17.182917,0.423200,1.840000,4.000000,0.000000,0.000000
0.020000,3.539235,17.182917,0.460800,1.920000,4.000000,0.000000,0.000000
0.020000,3.578435,17.182917,0.500000,2.000000,4.000000,0.000000,0.000000
0.020000,3.619235,17.182917,0.540800,2.080000,4.000000,0.000000,0.000000
0.020000,3.661635,17.182917,0.583200,2.160000,4.000000,0.000000,0.000000
0.020000,3.705635,17.182917,0.627200,2.240000,4.000000,0.000000,0.000000
0.020000,3.751235,17.182917,0.672800,2.320000,4.000000,-0.000000,0.000000
0.020000,3.798435,17.182917,0.720000,2.400000,4.000000,0.000000,0.000000
0.020000,3.847235,17.182917,0.768800,2.480000,4.000000,-0.000000,0.000000
0.020000,3.897635,17.182917,0.819200,2.560000,4.000000,0.000000,0.000000
0.020000,3.949635,17.182917,0.871200,2.640000,4.000000,0.000000,0.000000
0.020000,4.003235,17.182917,0.924800,2.720000,4.000000,-0.000000,0.000000
0.020000,4.058435,17.182917,0.980000,2.800000,4.000000,0.000000,0.000000
0.020000,4.115235,17.182917,1.036800,2.880000,4.000000,0.000000,0.000000
0.020000,4.173635,17.182917,1.095200,2.960000,4.000000,0.000000,0.000000
0.020000,4.233635,17.182917,1.155200,3.040000,4.000000,0.000000,0.000000
0.020000,4.295235,17.182917,1.216800,3.120000,4.000000,0.000000,0.000000
0.020000,4.358435,17.182917,1.280000,3.200000,4.000000,0.000000,0.000000
0.020000,4.423235,17.182917,1.344800,3.280000,4.000000,-0.000000,0.000000
0.020000,4.489635,17.182917,1.411200,3.360000,4.000000,0.000000,0.000000
0.020000,4.557635,17.182917,1.479200,3.440000,4.000000,-0.000000,0.000000
0.020000,4.627235,17.182917,1.548800,3.520000,4.000000,-0.000000,0.000000
0.020000,4.698435,17.182917,1.620000,3.600000,4.000000,0.000000,0.000000
0.020000,4.771235,17.182917,1.692800,3.680000,4.000000,0.000000,0.000000
0.020000,4.845635,17.182917,1.767200,3.760000,4.000000,0.000000,0.000000
0.020000,4.921635,17.182917,1.843200,3.840000,4.000000,-0.000000,0.000000
0.020000,4.999235,17.182917,1.920800,3.920000,4.000000,0.000000,0.000000
0.020000,5.078435,17.182917,2.000000,4.000000,4.000000,0.000000,0.000000
0.020000,5.159235,17.182917,2.080800,4.080000,4.000000,0.000000,0.000000
0.020000,5.241635,17.182917,2.163200,4.160000,4.000000,0.000000,0.000000
0.020000,5.325635,17.182917,2.247200,4.240000,4.000000,0.000000,0.000000
0.020000,5.411235,17.182917,2.332800,4.320000,4.000000,0.000000,0.000000
0.020000,5.498435,17.182917,2.420000,4.400000,4.000000,-0.000000,0.000000
0.020000,5.587235,17.182917,2.508800,4.480000,4.000000,0.000000,0.000000
0.020000,5.677635,17.182917,2.599200,4.560000,4.000000,-0.000000,0.000000
0.020000,5.769635,17.182917,2.691200,4.640000,4.000000,-0.000000,0.000000
0.020000,5.863235,17.182917,2.784800,4.720000,4.000000,0.000000,0.000000
0.020000,5.958435,17.182917,2.880000,4.800000,4.000000,0.000000,0.000000
0.020000,6.055235,17.182917,2.976800,4.880000,4.000000,-0.000000,0.000000
0.020000,6.153635,17.182917,3.075200,4.960000,4.000000,0.000000,0.000000
0.020000,6.253635,17.182917,3.175200,5.040000,4.000000,0.000000,0.000000
0.020000,6.355235,17.182917,3.276800,5.120000,4.000000,0.000000,0.000000
0.020000,6.458435,17.182917,3.380000,5.200000,4.000000,0.000000,0.000000
0.020000,6.563235,17.182917,3.484800,5.280000,4.000000,0.000000,0.000000
0.020000,6.669635,17.182917,3.591200,5.360000,4.000000,-0.000000,0.000000
0.020000,6.777635,17.182917,3.699200,5.440000,4.000000,0.000000,0.000000
0.020000,6.887235,17.182917,3.808800,5.520000,4.000000,0.000000,0.000000
0.020000,6.998435,17.182917,3.920000,5.600000,4.000000,-0.000000,0.000000
0.020000,7.111235,17.182917,4.032800,5.680000,4.000000,0.000000,0.000000
0.020000,7.225635,17.182917,4.147200,5.760000,4.000000,0.000000,0.000000
0.020000,7.341635,17.182917,4.263200,5.840000,4.000000,0.000000,0.000000
0.020000,7.459235,17.182917,4.380800,5.920000,4.000000,0.000000,0.000000
0.020000,7.578435,17.182917,4.500000,6.000000,4.000000,0.000000,0.000000
0.020000,7.698435,17.182917,4.620000,6.000000,0.000000,-200.000000,0.000000
0.020000,7.818435,17.182917,4.740000,6.000000,0.000000,0.000000,0.000000
0.020000,7.938435,17.182917,4.860000,6.000000,0.000000,0.000000,0.000000
0.020000,8.058435,17.182917,4.980000,6.000000,0.000000,0.000000,0.000000
0.020000,8.178435,17.182917,5.100000,6.000000,0.000000,0.000000,0.000000
0.020000,8.298435,17.182917,5.220000,6.000000,0.000000,0.000000,0.000000
0.020000,8.418435,17.182917,5.340000,6.000000,0.000000,0.000000,0.000000
0.020000,8.538435,17.182917,5.460000,6.000000,0.000000,0.000000,0.000000
0.020000,8.658435,17.182917,5.580000,6.000000,0.000000,0.000000,0.000000
0.020000,8.778435,17.182917,5.700000,6.000000,0.000000,0.000000,0.000000
0.020000,8.898435,17.182917,5.820000,6.000000,0.000000,0.000000,0.000000
0.020000,9.018435,17.182917,5.940000,6.000000,0.000000,0.000000,0.000000
0.020000,9.138435,17.182917,6.060000,6.000000,0.000000,0.000000,0.000000
0.020000,9.244080,17.183500,6.180000,6.000000,0.000000,0.000000,0.013814
0.020000,9.364047,17.186368,6.300000,6.000000,0.000000,0.000000,0.034157
0.020000,9.483924,17.191737,6.420000,6.000000,0.000000,0.000000,0.055520
0.020000,9.603654,17.199728,6.540000,6.000000,0.000000,0.000000,0.077949
0.020000,9.723171,17.210468,6.660000,6.000000,0.000000,0.000000,0.101489
0.020000,9.842391,17.224087,6.780000,6.000000,0.000000,0.000000,0.126182
0.020000,9.961230,17.240715,6.900000,6.000000,0.000000,0.000000,0.152061
0.020000,10.079584,17.260484,7.020000,6.000000,0.000000,0.000000,0.179154
0.020000,10.197347,17.283525,7.140000,6.000000,0.000000,0.000000,0.207478
0.020000,10.314395,17.309964,7.260000,6.000000,0.000000,0.000000,0.237036
0.020000,10.430591,17.339922,7.380000,6.000000,0.000000,0.000000,0.267817
0.020000,10.545788,17.373510,7.500000,6.000000,0.000000,0.000000,0.299787
0.020000,10.659831,17.410828,7.620000,6.000000,0.000000,0.000000,0.332895
0.020000,10.772554,17.451962,7.740000,6.000000,0.000000,0.000000,0.367064
0.020000,10.883785,17.496977,7.860000,6.000000,0.000000,0.000000,0.402193
0.020000,10.993345,17.545918,7.980000,6.000000,0.000000,0.000000,0.438155
0.020000,11.101054,17.598804,8.100000,6.000000,0.000000,0.000000,0.474795
0.020000,11.206739,17.655628,8.220000,6.000000,0.000000,0.000000,0.511940
0.020000,11.310230,17.716356,8.340000,6.000000,0.000000,0.000000,0.549394
0.020000,11.411371,17.780923,8.460000,6.000000,0.000000,0.000000,0.586948
0.020000,11.510018,17.849238,8.580000,6.000000,0.000000,0.000000,0.624387
0.020000,11.606050,17.921183,8.700000,6.000000,0.000000,0.000000,0.661492
0.020000,11.699366,17.996618,8.820000,6.000000,0.000000,0.000000,0.698053
0.020000,11.789891,18.075381,8.940000,6.000000,0.000000,0.000000,0.733870
0.020000,11.877575,18.157296,9.060000,6.000000,0.000000,0.000000,0.768762
0.020000,11.962393,18.242176,9.180000,6.000000,0.000000,0.000000,0.802570
0.020000,12.044346,18.329825,9.300000,6.000000,0.000000,0.000000,0.835158
0.020000,12.123459,18.420047,9.420000,6.000000,0.000000,0.000000,0.866418
0.020000,12.199779,18.512643,9.540000,6.000000,0.000000,0.000000,0.896266
0.020000,12.273371,18.607423,9.660000,6.000000,0.000000,0.000000,0.924644
0.020000,12.344317,18.704200,9.780000,6.000000,0.000000,0.000000,0.951512
0.020000,12.412713,18.802796,9.900000,6.000000,0.000000,0.000000,0.976855
0.020000,12.478666,18.903044,10.020000,6.000000,0.000000,0.000000,1.000669
0.020000,12.542290,19.004785,10.140000,6.000000,0.000000,0.000000,1.022967
0.020000,12.603708,19.107875,10.260000,6.000000,0.000000,0.000000,1.043771
0.020000,12.663044,19.212176,10.380000,6.000000,0.000000,0.000000,1.063112
0.020000,12.720428,19.317564,10.500000,6.000000,0.000000,0.000000,1.081025
0.020000,12.775989,19.423925,10.620000,6.000000,0.000000,0.000000,1.097549
0.020000,12.829858,19.531153,10.740000,6.000000,0.000000,0.000000,1.112726
0.020000,12.882165,19.639152,10.860000,6.000000,0.000000,0.000000,1.126598
0.020000,12.933037,19.747834,10.980000,6.000000,0.000000,0.000000,1.139205
0.020000,12.982603,19.857118,11.100000,6.000000,0.000000,0.000000,1.150588
0.020000,13.030987,19.966931,11.220000,6.000000,0.000000,0.000000,1.160785
0.020000,13.078312,20.077205,11.340000,6.000000,0.000000,0.000000,1.169831
0.020000,13.124701,20.187876,11.460000,6.000000,0.000000,0.000000,1.177756
0.020000,13.170271,20.298886,11.580000,6.000000,0.000000,0.000000,1.184592
0.020000,13.215142,20.410181,11.700000,6.000000,0.000000,0.000000,1.190362
0.020000,13.259428,20.521710,11.820000,6.000000,0.000000,0.000000,1.195088
0.020000,13.303224,20.633377,11.939948,5.994824,-0.258781,-12.939048,1.198787
0.020000,13.346357,20.744388,12.059045,5.914824,-4.000000,-187.060952,1.201459
0.020000,13.388673,20.854000,12.176541,5.834824,-4.000000,0.000000,1.203130
0.020000,13.430284,20.962169,12.292438,5.754824,-4.000000,-0.000000,1.203843
0.020000,13.471293,21.068855,12.406734,5.674824,-4.000000,0.000000,1.203640
0.020000,13.511796,21.174022,12.519431,5.594824,-4.000000,0.000000,1.202557
0.020000,13.551880,21.277635,12.630527,5.514824,-4.000000,0.000000,1.200630
0.020000,13.591626,21.379664,12.740024,5.434824,-4.000000,0.000000,1.197888
0.020000,13.631106,21.480078,12.847920,5.354824,-4.000000,0.000000,1.194359
0.020000,13.670386,21.578850,12.954217,5.274824,-4.000000,0.000000,1.190070
0.020000,13.709529,21.675954,13.058913,5.194824,-4.000000,0.000000,1.185043
0.020000,13.748587,21.771365,13.162010,5.114824,-4.000000,0.000000,1.179303
0.020000,13.787611,21.865060,13.263506,5.034824,-4.000000,0.000000,1.172870
0.020000,13.826642,21.957015,13.363403,4.954824,-4.000000,0.000000,1.165763
0.020000,13.865720,22.047210,13.461699,4.874824,-4.000000,-0.000000,1.158004
0.020000,13.904877,22.135623,13.558396,4.794824,-4.000000,0.000000,1.149611
0.020000,13.944142,22.222235,13.653492,4.714824,-4.000000,0.000000,1.140603
0.020000,13.983536,22.307026,13.746989,4.634824,-4.000000,-0.000000,1.131001
0.020000,14.023079,22.389980,13.838885,4.554824,-4.000000,0.000000,1.120823
0.020000,14.062783,22.471078,13.929182,4.474824,-4.000000,0.000000,1.110090
0.020000,14.102658,22.550306,14.017878,4.394824,-4.000000,0.000000,1.098824
0.020000,14.142707,22.627648,14.104974,4.314824,-4.000000,0.000000,1.087047
0.020000,14.182930,22.703091,14.190471,4.234824,-4.000000,0.000000,1.074783
0.020000,14.223323,22.776623,14.274367,4.154824,-4.000000,-0.000000,1.062055
0.020000,14.263875,22.848233,14.356664,4.074824,-4.000000,0.000000,1.048891
0.020000,14.304575,22.917914,14.437360,3.994824,-4.000000,0.000000,1.035319
0.020000,14.345404,22.985658,14.516457,3.914824,-4.000000,0.000000,1.021368
0.020000,14.386340,23.051459,14.593953,3.834824,-4.000000,-0.000000,1.007068
0.020000,14.427359,23.115315,14.669850,3.754824,-4.000000,0.000000,0.992453
0.020000,14.468431,23.177226,14.744146,3.674824,-4.000000,0.000000,0.977555
0.020000,14.509524,23.237193,14.816843,3.594824,-4.000000,-0.000000,0.962412
0.020000,14.550602,23.295220,14.887939,3.514824,-4.000000,0.000000,0.947059
